sido,sigungu,sigungu_std
서울,강남,강남구
서울,강동,강동구
서울,강북,강북구
서울,강서,강서구
서울,관악,관악구
서울,광진,광진구
서울,구로,구로구
서울,금천,금천구
서울,노원,노원구
서울,도봉,도봉구
서울,동대문,동대문구
서울,동작,동작구
서울,마포,마포구
서울,서대문,서대문구
서울,서초,서초구
서울,성동,성동구
서울,성북,성북구
서울,송파,송파구
서울,양천,양천구
서울,영등포,영등포구
서울,용산,용산구
서울,은평,은평구
서울,종로,종로구
서울,중,중구
서울,중랑,중랑구
부산,강서,강서구
부산,금정,금정구
부산,기장,기장군
부산,남,남구
부산,동,동구
부산,동래,동래구
부산,부산진,부산진구
부산,북,북구
부산,사상,사상구
부산,사하,사하구
부산,서,서구
부산,수영,수영구
부산,연제,연제구
부산,영도,영도구
부산,중,중구
부산,해운대,해운대구
대구,군위,군위군
대구,남,남구
대구,달서,달서구
대구,달성,달성군
대구,동,동구
대구,북,북구
대구,서,서구
대구,수성,수성구
대구,중,중구
인천,강화,강화군
인천,계양,계양구
인천,남동,남동구
인천,동,동구
인천,미추홀,미추홀구
인천,남,미추홀구
인천,남구,미추홀구
인천,부평,부평구
인천,서,서구
인천,연수,연수구
인천,옹진,옹진군
인천,중,중구
광주,광산,광산구
광주,남,남구
광주,동,동구
광주,북,북구
광주,서,서구
대전,대덕,대덕구
대전,동,동구
대전,서,서구
대전,유성,유성구
대전,중,중구
울산,남,남구
울산,동,동구
울산,북,북구
울산,울주,울주군
울산,중,중구
세종,세종특별자치,세종시
세종,세종특별자치시,세종시
세종,세종,세종시
경기,가평,가평군
경기,고양시 덕양,고양시
경기,고양시 일산동,고양시
경기,고양시 일산서,고양시
경기,고양시 덕양구,고양시
경기,고양시 일산동구,고양시
경기,고양시 일산서구,고양시
경기,과천,과천시
경기,광명,광명시
경기,광주,광주시
경기,구리,구리시
경기,군포,군포시
경기,김포,김포시
경기,남양주,남양주시
경기,동두천,동두천시
경기,부천,부천시
경기,부천시 소사,부천시
경기,부천시 오정,부천시
경기,부천시 원미,부천시
경기,부천시 소사구,부천시
경기,부천시 오정구,부천시
경기,부천시 원미구,부천시
경기,성남시 분당,성남시
경기,성남시 수정,성남시
경기,성남시 중원,성남시
경기,수원시 권선,수원시
경기,수원시 영통,수원시
경기,수원시 장안,수원시
경기,수원시 팔달,수원시
경기,성남시 분당구,성남시
경기,성남시 수정구,성남시
경기,성남시 중원구,성남시
경기,수원시 권선구,수원시
경기,수원시 영통구,수원시
경기,수원시 장안구,수원시
경기,수원시 팔달구,수원시
경기,시흥,시흥시
경기,안산시 단원,안산시
경기,안산시 상록,안산시
경기,안산시 단원구,안산시
경기,안산시 상록구,안산시
경기,안성,안성시
경기,안양시 동안,안양시
경기,안양시 만안,안양시
경기,안양시 동안구,안양시
경기,안양시 만안구,안양시
경기,양주,양주시
경기,양평,양평군
경기,여주,여주시
경기,연천,연천군
경기,오산,오산시
경기,용인시 기흥구,용인시
경기,용인시 수지구,용인시
경기,용인시 처인구,용인시
경기,용인시 기흥,용인시
경기,용인시 수지,용인시
경기,용인시 처인,용인시
경기,의왕,의왕시
경기,의정부,의정부시
경기,이천,이천시
경기,파주,파주시
경기,평택,평택시
경기,포천,포천시
경기,하남,하남시
경기,화성,화성시
충북,괴산,괴산군
충북,단양,단양군
충북,보은,보은군
충북,영동,영동군
충북,옥천,옥천군
충북,음성,음성군
충북,제천,제천시
충북,증평,증평군
충북,진천,진천군
충북,청원,청원군
충북,청원군,청주시
충북,청주시 상당구,청주시
충북,청주시 서원구,청주시
충북,청주시 청원구,청주시
충북,청주시 흥덕구,청주시
충북,청주시 상당,청주시
충북,청주시 서원,청주시
충북,청주시 청원,청주시
충북,청주시 흥덕,청주시
충북,충주,충주시
충남,계룡,계룡시
충남,공주,공주시
충남,금산,금산군
충남,논산,논산시
충남,당진,당진시
충남,보령,보령시
충남,부여,부여군
충남,서산,서산시
충남,서천,서천군
충남,아산,아산시
충남,예산,예산군
충남,천안시 동남구,천안시
충남,천안시 서북구,천안시
충남,천안시 동남,천안시
충남,천안시 서북,천안시
충남,청양,청양군
충남,태안,태안군
충남,홍성,홍성군
전남,강진,강진군
전남,고흥,고흥군
전남,곡성,곡성군
전남,광양,광양시
전남,구례,구례군
전남,나주,나주시
전남,담양,담양군
전남,목포,목포시
전남,무안,무안군
전남,보성,보성군
전남,순천,순천시
전남,신안,신안군
전남,여수,여수시
전남,영광,영광군
전남,영암,영암군
전남,완도,완도군
전남,장성,장성군
전남,장흥,장흥군
전남,진도,진도군
전남,함평,함평군
전남,해남,해남군
전남,화순,화순군
경북,경산,경산시
경북,경주,경주시
경북,고령,고령군
경북,구미,구미시
경북,군위,군위군
경북,김천,김천시
경북,문경,문경시
경북,봉화,봉화군
경북,상주,상주시
경북,성주,성주군
경북,안동,안동시
경북,영덕,영덕군
경북,영양,영양군
경북,영주,영주시
경북,영천,영천시
경북,예천,예천군
경북,울릉,울릉군
경북,울진,울진군
경북,의성,의성군
경북,청도,청도군
경북,청송,청송군
경북,칠곡,칠곡군
경북,포항시 남구,포항시
경북,포항시 북구,포항시
경북,포항시 남,포항시
경북,포항시 북,포항시
경남,거제,거제시
경남,거창,거창군
경남,고성,고성군
경남,김해,김해시
경남,남해,남해군
경남,밀양,밀양시
경남,사천,사천시
경남,산청,산청군
경남,양산,양산시
경남,의령,의령군
경남,진주,진주시
경남,창녕,창녕군
경남,창원시 마산합포구,창원시
경남,창원시 마산회원구,창원시
경남,창원시 성산구,창원시
경남,창원시 의창구,창원시
경남,창원시 진해구,창원시
경남,창원시 마산합포,창원시
경남,창원시 마산회원,창원시
경남,창원시 성산,창원시
경남,창원시 의창,창원시
경남,창원시 진해,창원시
경남,통영,통영시
경남,하동,하동군
경남,함안,함안군
경남,함양,함양군
경남,합천,합천군
제주,서귀포,서귀포시
제주,제주,제주시
강원,강릉,강릉시
강원,고성,고성군
강원,동해,동해시
강원,삼척,삼척시
강원,속초,속초시
강원,양구,양구군
강원,양양,양양군
강원,영월,영월군
강원,원주,원주시
강원,인제,인제군
강원,정선,정선군
강원,철원,철원군
강원,춘천,춘천시
강원,태백,태백시
강원,평창,평창군
강원,홍천,홍천군
강원,화천,화천군
강원,횡성,횡성군
전북,고창,고창군
전북,군산,군산시
전북,김제,김제시
전북,남원,남원시
전북,무주,무주군
전북,부안,부안군
전북,순창,순창군
전북,완주,완주군
전북,익산,익산시
전북,임실,임실군
전북,장수,장수군
전북,전주시 덕진구,전주시
전북,전주시 완산구,전주시
전북,전주시 덕진,전주시
전북,전주시 완산,전주시
전북,정읍,정읍시
전북,진안,진안군
