year,month,yyyymm,sido,sigungu,passenger_imported,van_imported
2018,1,201801,강원,강릉시,5249,50
2018,1,201801,강원,고성군,465,2
2018,1,201801,강원,동해시,1420,58
2018,1,201801,강원,삼척시,938,13
2018,1,201801,강원,속초시,1735,24
2018,1,201801,강원,양구군,368,7
2018,1,201801,강원,양양군,621,11
2018,1,201801,강원,영월군,770,10
2018,1,201801,강원,원주시,9817,92
2018,1,201801,강원,인제군,509,8
2018,1,201801,강원,정선군,797,11
2018,1,201801,강원,철원군,643,9
2018,1,201801,강원,춘천시,6325,60
2018,1,201801,강원,태백시,1023,5
2018,1,201801,강원,평창군,1305,3
2018,1,201801,강원,홍천군,1292,9
2018,1,201801,강원,화천군,336,4
2018,1,201801,강원,횡성군,1119,17
2018,1,201801,경기,가평군,1940,22
2018,1,201801,경기,고양시,42111,207
2018,1,201801,경기,과천시,2913,13
2018,1,201801,경기,광명시,7192,34
2018,1,201801,경기,광주시,14052,100
2018,1,201801,경기,구리시,5598,29
2018,1,201801,경기,군포시,6450,35
2018,1,201801,경기,김포시,16666,162
2018,1,201801,경기,남양주시,21855,219
2018,1,201801,경기,동두천시,1698,14
2018,1,201801,경기,부천시,19933,93
2018,1,201801,경기,성남시,54142,172
2018,1,201801,경기,수원시,42247,242
2018,1,201801,경기,시흥시,9697,60
2018,1,201801,경기,안산시,14667,138
2018,1,201801,경기,안성시,4633,58
2018,1,201801,경기,안양시,16602,79
2018,1,201801,경기,양주시,5002,61
2018,1,201801,경기,양평군,5278,65
2018,1,201801,경기,여주시,2910,46
2018,1,201801,경기,연천군,1018,19
2018,1,201801,경기,오산시,5152,61
2018,1,201801,경기,용인시,54625,355
2018,1,201801,경기,의왕시,5125,22
2018,1,201801,경기,의정부시,8949,67
2018,1,201801,경기,이천시,6034,86
2018,1,201801,경기,파주시,13641,150
2018,1,201801,경기,평택시,15169,157
2018,1,201801,경기,포천시,3816,48
2018,1,201801,경기,하남시,10276,57
2018,1,201801,경기,화성시,27189,258
2018,1,201801,경남,거제시,5205,42
2018,1,201801,경남,거창군,1025,10
2018,1,201801,경남,고성군,809,5
2018,1,201801,경남,김해시,13300,112
2018,1,201801,경남,남해군,590,10
2018,1,201801,경남,밀양시,1889,15
2018,1,201801,경남,사천시,2009,13
2018,1,201801,경남,산청군,636,3
2018,1,201801,경남,양산시,7833,49
2018,1,201801,경남,의령군,401,7
2018,1,201801,경남,진주시,8058,53
2018,1,201801,경남,창녕군,1221,9
2018,1,201801,경남,창원시,66862,183
2018,1,201801,경남,통영시,2497,14
2018,1,201801,경남,하동군,735,8
2018,1,201801,경남,함안군,2982,22
2018,1,201801,경남,함양군,974,7
2018,1,201801,경남,합천군,662,12
2018,1,201801,경북,경산시,6183,44
2018,1,201801,경북,경주시,5856,85
2018,1,201801,경북,고령군,786,16
2018,1,201801,경북,구미시,8436,80
2018,1,201801,경북,군위군,457,5
2018,1,201801,경북,김천시,2448,39
2018,1,201801,경북,문경시,1060,13
2018,1,201801,경북,봉화군,372,4
2018,1,201801,경북,상주시,1340,19
2018,1,201801,경북,성주군,1054,13
2018,1,201801,경북,안동시,3034,44
2018,1,201801,경북,영덕군,578,14
2018,1,201801,경북,영양군,187,4
2018,1,201801,경북,영주시,1635,25
2018,1,201801,경북,영천시,1955,20
2018,1,201801,경북,예천군,715,11
2018,1,201801,경북,울릉군,120,1
2018,1,201801,경북,울진군,895,17
2018,1,201801,경북,의성군,621,7
2018,1,201801,경북,청도군,926,12
2018,1,201801,경북,청송군,346,2
2018,1,201801,경북,칠곡군,2854,35
2018,1,201801,경북,포항시,11676,125
2018,1,201801,광주,광산구,11136,129
2018,1,201801,광주,남구,7748,28
2018,1,201801,광주,동구,3402,14
2018,1,201801,광주,북구,11906,90
2018,1,201801,광주,서구,16365,75
2018,1,201801,대구,남구,4444,15
2018,1,201801,대구,달서구,23104,118
2018,1,201801,대구,달성군,5878,51
2018,1,201801,대구,동구,9836,71
2018,1,201801,대구,북구,10830,82
2018,1,201801,대구,서구,4154,21
2018,1,201801,대구,수성구,48135,103
2018,1,201801,대구,중구,22268,21
2018,1,201801,대전,대덕구,3768,23
2018,1,201801,대전,동구,3867,23
2018,1,201801,대전,서구,13826,98
2018,1,201801,대전,유성구,16544,101
2018,1,201801,대전,중구,5733,55
2018,1,201801,부산,강서구,5308,52
2018,1,201801,부산,금정구,6932,30
2018,1,201801,부산,기장군,5143,29
2018,1,201801,부산,남구,9087,26
2018,1,201801,부산,동구,17341,22
2018,1,201801,부산,동래구,7442,25
2018,1,201801,부산,부산진구,16033,25
2018,1,201801,부산,북구,5524,28
2018,1,201801,부산,사상구,4318,22
2018,1,201801,부산,사하구,5931,22
2018,1,201801,부산,서구,2347,7
2018,1,201801,부산,수영구,14246,17
2018,1,201801,부산,연제구,16412,16
2018,1,201801,부산,영도구,1818,8
2018,1,201801,부산,중구,7949,3
2018,1,201801,부산,해운대구,33244,44
2018,1,201801,서울,강남구,71496,184
2018,1,201801,서울,강동구,13673,70
2018,1,201801,서울,강북구,5308,16
2018,1,201801,서울,강서구,19856,76
2018,1,201801,서울,관악구,9775,33
2018,1,201801,서울,광진구,12801,50
2018,1,201801,서울,구로구,10724,41
2018,1,201801,서울,금천구,5850,26
2018,1,201801,서울,노원구,11067,68
2018,1,201801,서울,도봉구,6299,30
2018,1,201801,서울,동대문구,10024,44
2018,1,201801,서울,동작구,12761,29
2018,1,201801,서울,마포구,18503,64
2018,1,201801,서울,서대문구,10096,46
2018,1,201801,서울,서초구,50717,158
2018,1,201801,서울,성동구,18723,57
2018,1,201801,서울,성북구,12856,55
