year,month,yyyymm,model_year,passenger,van
2018,01,201801,1998,527558,61141
2018,01,201801,1999,103833,20581
2018,01,201801,2000,190989,49730
2018,01,201801,2001,325813,12389
2018,01,201801,2002,578304,18379
2018,01,201801,2003,471827,13975
2018,01,201801,2004,540168,18907
2018,01,201801,2005,676479,26875
2018,01,201801,2006,710362,39913
2018,01,201801,2007,904926,29775
2018,01,201801,2008,869273,39404
2018,01,201801,2009,823551,32999
2018,01,201801,2010,1143979,48482
2018,01,201801,2011,1177262,54136
2018,01,201801,2012,1322818,46616
2018,01,201801,2013,999667,45309
2018,01,201801,2014,1192156,44770
2018,01,201801,2015,1250050,42586
2018,01,201801,2016,1559986,28958
2018,01,201801,2017,1146636,30058
2018,01,201801,2018,667536,14118
2018,02,201802,1998,522018,60747
2018,02,201802,1999,101138,20070
2018,02,201802,2000,185989,48394
2018,02,201802,2001,318309,12102
2018,02,201802,2002,566017,18025
2018,02,201802,2003,464136,13700
2018,02,201802,2004,533136,18557
2018,02,201802,2005,671137,26502
2018,02,201802,2006,706923,39655
2018,02,201802,2007,902381,29770
2018,02,201802,2008,867626,39275
2018,02,201802,2009,822626,32944
2018,02,201802,2010,1143239,48420
2018,02,201802,2011,1177068,54102
2018,02,201802,2012,1322783,46591
2018,02,201802,2013,1000316,45304
2018,02,201802,2014,1194044,44830
2018,02,201802,2015,1253000,42673
2018,02,201802,2016,1560522,28940
2018,02,201802,2017,1150659,30097
2018,02,201802,2018,750564,15885
2018,03,201803,1998,515289,60238
2018,03,201803,1999,98153,19498
2018,03,201803,2000,180354,46876
2018,03,201803,2001,309485,11758
2018,03,201803,2002,551922,17553
2018,03,201803,2003,455408,13340
2018,03,201803,2004,524963,18175
2018,03,201803,2005,664879,26088
2018,03,201803,2006,702684,39355
2018,03,201803,2007,899478,29814
2018,03,201803,2008,865722,39158
2018,03,201803,2009,821654,32875
2018,03,201803,2010,1142566,48389
2018,03,201803,2011,1177088,54077
2018,03,201803,2012,1323075,46570
2018,03,201803,2013,1001198,45318
2018,03,201803,2014,1196276,44884
2018,03,201803,2015,1256681,42795
2018,03,201803,2016,1561244,28893
2018,03,201803,2017,1154303,30120
2018,03,201803,2018,860717,17939
2018,04,201804,1998,509296,59859
2018,04,201804,1999,95400,19016
2018,04,201804,2000,175204,45596
2018,04,201804,2001,301985,11443
2018,04,201804,2002,539748,17156
2018,04,201804,2003,447676,13060
2018,04,201804,2004,517877,17871
2018,04,201804,2005,658952,25724
2018,04,201804,2006,698499,39089
2018,04,201804,2007,896436,29876
2018,04,201804,2008,863833,38981
2018,04,201804,2009,820582,32822
2018,04,201804,2010,1142003,48349
2018,04,201804,2011,1177074,54027
2018,04,201804,2012,1323234,46496
2018,04,201804,2013,1002131,45277
2018,04,201804,2014,1198289,44907
2018,04,201804,2015,1260549,42892
2018,04,201804,2016,1562358,28841
2018,04,201804,2017,1156582,30176
2018,04,201804,2018,969199,20112
2018,05,201805,1998,503243,59486
2018,05,201805,1999,92610,18548
2018,05,201805,2000,169853,44372
2018,05,201805,2001,294432,11180
2018,05,201805,2002,527861,16804
2018,05,201805,2003,439981,12792
2018,05,201805,2004,510635,17584
2018,05,201805,2005,652743,25418
2018,05,201805,2006,693938,38809
2018,05,201805,2007,892832,29839
2018,05,201805,2008,861557,38860
2018,05,201805,2009,819309,32818
2018,05,201805,2010,1141164,48298
2018,05,201805,2011,1176941,53988
2018,05,201805,2012,1323253,46454
2018,05,201805,2013,1002918,45264
2018,05,201805,2014,1199987,44914
2018,05,201805,2015,1263906,42923
2018,05,201805,2016,1563524,28827
2018,05,201805,2017,1158173,30181
2018,05,201805,2018,1073665,21595
2018,06,201806,1998,497525,59130
2018,06,201806,1999,90009,18160
2018,06,201806,2000,164952,43255
2018,06,201806,2001,287674,10887
2018,06,201806,2002,516842,16446
2018,06,201806,2003,432705,12529
2018,06,201806,2004,503779,17316
2018,06,201806,2005,646752,25086
2018,06,201806,2006,689562,38561
2018,06,201806,2007,889433,29799
2018,06,201806,2008,859338,38728
2018,06,201806,2009,818038,32774
2018,06,201806,2010,1140346,48270
2018,06,201806,2011,1176725,53959
2018,06,201806,2012,1323329,46414
2018,06,201806,2013,1003528,45244
2018,06,201806,2014,1201473,44875
2018,06,201806,2015,1266739,43000
2018,06,201806,2016,1564961,28904
2018,06,201806,2017,1159130,30219
2018,06,201806,2018,1178482,23632
2018,07,201807,1998,491551,58740
2018,07,201807,1999,87177,17744
2018,07,201807,2000,159758,42149
2018,07,201807,2001,280271,10598
2018,07,201807,2002,505259,16035
2018,07,201807,2003,424811,12194
2018,07,201807,2004,496506,16977
2018,07,201807,2005,639896,24714
2018,07,201807,2006,684481,38233
2018,07,201807,2007,885365,29758
2018,07,201807,2008,856634,38568
2018,07,201807,2009,816484,32732
2018,07,201807,2010,1139298,48209
2018,07,201807,2011,1176252,53917
2018,07,201807,2012,1323325,46383
2018,07,201807,2013,1003936,45215
2018,07,201807,2014,1202918,44847
2018,07,201807,2015,1270224,43075
2018,07,201807,2016,1566733,29005
2018,07,201807,2017,1159906,30250
2018,07,201807,2018,1284717,26294
2018,08,201808,1998,485817,58410
2018,08,201808,1999,84456,17307
2018,08,201808,2000,154809,40991
2018,08,201808,2001,273147,10369
2018,08,201808,2002,494048,15693
2018,08,201808,2003,417115,11970
2018,08,201808,2004,489163,16753
2018,08,201808,2005,633093,24390
2018,08,201808,2006,679392,37912
2018,08,201808,2007,881047,29683
2018,08,201808,2008,853778,38426
2018,08,201808,2009,814715,32692
2018,08,201808,2010,1138067,48170
2018,08,201808,2011,1175673,53888
2018,08,201808,2012,1323235,46365
2018,08,201808,2013,1004201,45188
2018,08,201808,2014,1204038,44851
2018,08,201808,2015,1273390,43175
2018,08,201808,2016,1569099,29137
2018,08,201808,2017,1160746,30248
2018,08,201808,2018,1385547,27729
2018,09,201809,1998,481592,58150
2018,09,201809,1999,82428,16954
2018,09,201809,2000,150993,40104
2018,09,201809,2001,267496,10142
2018,09,201809,2002,485418,15381
2018,09,201809,2003,411343,11712
2018,09,201809,2004,483599,16520
