year,month,yyyymm,sido,passenger_private,passenger_total,van_private,van_total
2018,1,201801,서울,2516720,2644378,107529,126975
2018,1,201801,부산,1042456,1089062,39624,46884
2018,1,201801,대구,935603,959617,29155,34262
2018,1,201801,인천,1017506,1268408,42700,55731
2018,1,201801,광주,518146,535907,18518,21766
2018,1,201801,대전,534573,549149,20077,22844
2018,1,201801,울산,452044,460907,13424,15878
2018,1,201801,세종,111278,112149,3615,4083
2018,1,201801,경기,4308402,4391926,188175,224647
2018,1,201801,강원,549006,562495,26061,30774
2018,1,201801,충북,585797,600362,26960,31642
2018,1,201801,충남,781097,796520,37659,44301
2018,1,201801,전북,652487,672005,28972,34596
2018,1,201801,전남,626587,714918,31631,41718
2018,1,201801,경북,1007586,1025317,43947,51263
2018,1,201801,경남,1267874,1316801,48331,58012
2018,1,201801,제주,276011,403607,12723,20694
2018,2,201802,서울,2516697,2644519,106997,126373
2018,2,201802,부산,1043899,1091916,39494,46743
2018,2,201802,대구,936840,960916,29076,34181
2018,2,201802,인천,1020192,1273154,42499,55583
2018,2,201802,광주,518839,536540,18507,21743
2018,2,201802,대전,534649,549339,20036,22804
2018,2,201802,울산,452673,461589,13391,15847
2018,2,201802,세종,113164,114031,3653,4117
2018,2,201802,경기,4318745,4402007,187271,223721
2018,2,201802,강원,549825,563468,26009,30733
2018,2,201802,충북,587181,601810,26904,31598
2018,2,201802,충남,783885,799288,37629,44275
2018,2,201802,전북,653675,673173,28936,34558
2018,2,201802,전남,627765,716695,31488,41552
2018,2,201802,경북,1009145,1026780,43759,51061
2018,2,201802,경남,1269956,1318699,48247,57868
2018,2,201802,제주,276501,406710,12687,20714
2018,3,201803,서울,2516974,2644328,106253,125586
2018,3,201803,부산,1045183,1094927,39287,46522
2018,3,201803,대구,939237,963325,28935,34041
2018,3,201803,인천,1024116,1277962,42278,55299
2018,3,201803,광주,520146,537747,18423,21652
2018,3,201803,대전,535354,550055,19963,22712
2018,3,201803,울산,453983,462842,13323,15787
2018,3,201803,세종,115016,115878,3666,4131
2018,3,201803,경기,4337312,4420665,186598,223053
2018,3,201803,강원,551649,565356,25940,30660
2018,3,201803,충북,589451,604107,26817,31522
2018,3,201803,충남,787495,802855,37585,44231
2018,3,201803,전북,655253,674725,28850,34458
2018,3,201803,전남,629995,720253,31442,41471
2018,3,201803,경북,1011644,1029197,43656,50964
2018,3,201803,경남,1273395,1322319,48098,57712
2018,3,201803,제주,276936,411116,12599,20590
2018,4,201804,서울,2519983,2647749,105731,125031
2018,4,201804,부산,1047369,1098974,39165,46402
2018,4,201804,대구,940615,964723,28828,33932
2018,4,201804,인천,1028138,1282964,42170,55168
2018,4,201804,광주,521367,538857,18367,21637
2018,4,201804,대전,536387,551145,19916,22661
2018,4,201804,울산,455253,464055,13283,15751
2018,4,201804,세종,116906,117752,3686,4165
2018,4,201804,경기,4357526,4440648,186136,222655
2018,4,201804,강원,553570,567237,25888,30622
2018,4,201804,충북,592029,606674,26786,31512
2018,4,201804,충남,790577,805801,37439,44110
2018,4,201804,전북,657620,677347,28804,34384
2018,4,201804,전남,632350,723299,31412,41407
2018,4,201804,경북,1014413,1031928,43542,50849
2018,4,201804,경남,1275862,1324768,47889,57465
2018,4,201804,제주,276942,415794,12528,20601
2018,5,201805,서울,2520907,2649060,105005,124311
2018,5,201805,부산,1049311,1102491,39015,46270
2018,5,201805,대구,942529,966660,28688,33757
2018,5,201805,인천,1031794,1287516,41856,54845
2018,5,201805,광주,522529,539886,18318,21550
2018,5,201805,대전,536990,551757,19768,22529
2018,5,201805,울산,456045,464920,13270,15722
2018,5,201805,세종,118310,119225,3696,4177
2018,5,201805,경기,4375726,4459783,185652,222172
2018,5,201805,강원,554947,568637,25838,30582
2018,5,201805,충북,594159,608795,26695,31416
2018,5,201805,충남,793131,808235,37364,44009
2018,5,201805,전북,659484,679277,28762,34340
2018,5,201805,전남,634569,727043,31346,41344
2018,5,201805,경북,1016977,1034468,43488,50802
2018,5,201805,경남,1277962,1326446,47720,57313
2018,5,201805,제주,277155,420402,12473,20551
2018,6,201806,서울,2521778,2650174,104401,123883
2018,6,201806,부산,1050971,1106028,38910,46211
2018,6,201806,대구,945793,969993,28592,33699
2018,6,201806,인천,1036264,1293528,41444,54544
2018,6,201806,광주,524192,541410,18293,21530
2018,6,201806,대전,537857,552669,19772,22561
2018,6,201806,울산,456653,465494,13257,15714
2018,6,201806,세종,119888,120801,3718,4200
2018,6,201806,경기,4394409,4478360,185355,221957
2018,6,201806,강원,556740,570446,25801,30553
2018,6,201806,충북,596025,610664,26683,31409
2018,6,201806,충남,796165,811695,37340,44020
2018,6,201806,전북,661246,681885,28735,34344
2018,6,201806,전남,636108,730461,31335,41292
2018,6,201806,경북,1018921,1036407,43453,50780
2018,6,201806,경남,1280624,1328798,47651,57219
2018,6,201806,제주,277688,425271,12448,20566
2018,7,201807,서울,2522345,2651766,103894,123482
2018,7,201807,부산,1052545,1109697,38793,46052
2018,7,201807,대구,947433,971666,28540,33652
2018,7,201807,인천,1038917,1298186,41266,54434
2018,7,201807,광주,525770,542932,18288,21467
2018,7,201807,대전,539030,553887,19770,22557
2018,7,201807,울산,457264,466083,13250,15718
2018,7,201807,세종,121071,121995,3730,4226
2018,7,201807,경기,4412116,4495658,184974,221572
2018,7,201807,강원,558732,572472,25764,30507
2018,7,201807,충북,598009,612648,26667,31352
2018,7,201807,충남,798902,814430,37303,43967
2018,7,201807,전북,663213,683938,28759,34370
2018,7,201807,전남,637583,733322,31286,41214
2018,7,201807,경북,1021269,1038735,43425,50726
2018,7,201807,경남,1283134,1331282,47539,57076
2018,7,201807,제주,278169,431287,12389,20556
2018,8,201808,서울,2522881,2652378,103226,123073
2018,8,201808,부산,1054037,1112364,38595,45866
2018,8,201808,대구,948511,972773,28434,33505
2018,8,201808,인천,1041559,1302749,41123,54336
2018,8,201808,광주,526940,544207,18229,21399
2018,8,201808,대전,539956,554896,19743,22507
2018,8,201808,울산,457724,466505,13182,15641
2018,8,201808,세종,122500,123420,3741,4238
2018,8,201808,경기,4428498,4512001,184409,221002
2018,8,201808,강원,560338,574073,25731,30465
2018,8,201808,충북,599782,614434,26596,31265
2018,8,201808,충남,801069,816588,37210,43870
2018,8,201808,전북,664905,685638,28692,34272
2018,8,201808,전남,639031,734588,31245,41084
2018,8,201808,경북,1023285,1040676,43370,50647
2018,8,201808,경남,1285152,1333282,47440,56944
2018,8,201808,제주,278408,435646,12381,20464
2018,9,201809,서울,2523877,2654828,102872,122692
2018,9,201809,부산,1055567,1114850,38527,45792
2018,9,201809,대구,950435,974759,28396,33458
2018,9,201809,인천,1047257,1307443,41065,54300
2018,9,201809,광주,528178,545381,18197,21364
2018,9,201809,대전,540920,555923,19736,22489
2018,9,201809,울산,458397,467149,13161,15601
2018,9,201809,세종,123795,124714,3745,4240
2018,9,201809,경기,4443816,4528633,184234,220745
2018,9,201809,강원,561818,575546,25710,30427
2018,9,201809,충북,601415,616111,26562,31251
2018,9,201809,충남,803165,818683,37163,43818
2018,9,201809,전북,666566,687220,28670,34252
2018,9,201809,전남,640249,736718,31264,41295
2018,9,201809,경북,1025450,1042902,43370,50646
2018,9,201809,경남,1285683,1333704,47397,56881
2018,9,201809,제주,279133,440230,12355,20421
2018,10,201810,서울,2524965,2655989,102235,122014
2018,10,201810,부산,1057141,1117729,38433,45708
2018,10,201810,대구,951389,975791,28211,33291
2018,10,201810,인천,1051270,1313023,40999,54223
2018,10,201810,광주,529537,546673,18146,21310
2018,10,201810,대전,541603,556690,19633,22391
2018,10,201810,울산,458776,467504,13140,15566
2018,10,201810,세종,125063,126002,3731,4231
2018,10,201810,경기,4461889,4546684,183871,220343
2018,10,201810,강원,563049,576648,25605,30340
2018,10,201810,충북,603761,618505,26527,31213
2018,10,201810,충남,805494,820968,37031,43672
2018,10,201810,전북,667809,688525,28641,34203
2018,10,201810,전남,641742,737979,31213,41174
2018,10,201810,경북,1027407,1044839,43263,50547
2018,10,201810,경남,1287506,1335226,47322,56810
2018,10,201810,제주,279353,443955,12320,20273
2018,11,201811,서울,2525356,2656846,101604,121338
2018,11,201811,부산,1061515,1123382,38337,45649
2018,11,201811,대구,953902,978296,28173,33249
2018,11,201811,인천,1053387,1317636,40890,54171
2018,11,201811,광주,530705,547868,18119,21291
2018,11,201811,대전,542673,557777,19546,22301
2018,11,201811,울산,459414,468217,13070,15503
2018,11,201811,세종,125938,126861,3723,4264
2018,11,201811,경기,4484305,4569186,183719,220286
2018,11,201811,강원,564539,578209,25526,30276
2018,11,201811,충북,605672,620442,26455,31166
2018,11,201811,충남,808052,823628,36949,43625
2018,11,201811,전북,669575,690338,28596,34145
2018,11,201811,전남,644282,740839,31225,41207
2018,11,201811,경북,1029812,1047231,43209,50414
2018,11,201811,경남,1290058,1337647,47228,56710
2018,11,201811,제주,279833,448388,12265,20216
2018,12,201812,서울,2526699,2658637,101002,120780
2018,12,201812,부산,1062309,1125462,38171,45441
2018,12,201812,대구,955190,979600,28138,33206
2018,12,201812,인천,1056745,1324817,40772,54173
2018,12,201812,광주,531142,548234,18054,21217
2018,12,201812,대전,542888,558101,19504,22269
2018,12,201812,울산,459510,468283,13044,15466
2018,12,201812,세종,126740,127673,3738,4291
2018,12,201812,경기,4500558,4584983,183613,220160
2018,12,201812,강원,564798,578419,25385,30073
2018,12,201812,충북,607495,622459,26382,31065
2018,12,201812,충남,809746,825104,36890,43533
2018,12,201812,전북,670649,691403,28564,34080
2018,12,201812,전남,646148,744649,31183,40968
2018,12,201812,경북,1031457,1048829,43110,50291
2018,12,201812,경남,1291210,1338384,47103,56591
2018,12,201812,제주,279904,451887,12245,20190
2019,1,201901,서울,2531207,2662379,100612,120461
2019,1,201901,부산,1064044,1128464,38067,45313
2019,1,201901,대구,956775,981126,28089,33117
2019,1,201901,인천,1061088,1332623,40801,54208
2019,1,201901,광주,532780,549810,18068,21222
2019,1,201901,대전,543615,558819,19443,22201
2019,1,201901,울산,460424,469124,13055,15454
2019,1,201901,세종,128405,129341,3761,4316
2019,1,201901,경기,4521125,4605200,183524,219987
2019,1,201901,강원,566826,580409,25335,29998
2019,1,201901,충북,609827,624995,26428,31111
2019,1,201901,충남,812694,827935,36836,43477
2019,1,201901,전북,672536,693221,28588,34085
2019,1,201901,전남,647979,746275,31191,40946
2019,1,201901,경북,1034262,1051661,43147,50332
2019,1,201901,경남,1294739,1341375,47095,56554
2019,1,201901,제주,279822,455095,12247,20201
2019,2,201902,서울,2532334,2663636,100137,119995
