year,month,yyyymm,sido,passenger_private,passenger_total,van_private,van_total
2019,2,201902,부산,1066786,1132230,37953,45228
2019,2,201902,대구,956529,980836,28040,33065
2019,2,201902,인천,1062924,1336503,40596,54020
2019,2,201902,광주,533222,550179,18008,21152
2019,2,201902,대전,543404,558406,19368,22095
2019,2,201902,울산,460906,469568,13037,15429
2019,2,201902,세종,129922,130852,3769,4323
2019,2,201902,경기,4524752,4608426,182339,218682
2019,2,201902,강원,567661,581273,25281,29934
2019,2,201902,충북,611246,626645,26435,31125
2019,2,201902,충남,814670,829884,36772,43404
2019,2,201902,전북,673624,694161,28593,34077
2019,2,201902,전남,648786,746912,31152,40881
2019,2,201902,경북,1035753,1053090,43099,50263
2019,2,201902,경남,1293989,1340336,47034,56448
2019,2,201902,제주,279598,457626,12216,20223
2019,3,201903,서울,2532494,2663430,99265,119108
2019,3,201903,부산,1066854,1133833,37786,45069
2019,3,201903,대구,957864,982467,27977,33016
2019,3,201903,인천,1064224,1338688,40389,53907
2019,3,201903,광주,534525,551558,17927,21074
2019,3,201903,대전,543932,558965,19289,21992
2019,3,201903,울산,461744,470388,13001,15392
2019,3,201903,세종,131400,132364,3798,4349
2019,3,201903,경기,4531510,4615660,181228,217558
2019,3,201903,강원,568484,582105,25103,29770
2019,3,201903,충북,612257,627879,26301,31009
2019,3,201903,충남,816667,831941,36680,43304
2019,3,201903,전북,674148,695331,28507,33988
2019,3,201903,전남,650075,749007,31019,40729
2019,3,201903,경북,1037842,1055094,42951,50128
2019,3,201903,경남,1295267,1341414,46823,56226
2019,3,201903,제주,279845,461043,12186,20188
2019,4,201904,서울,2531239,2662378,98230,118322
2019,4,201904,부산,1066219,1134948,37534,44835
2019,4,201904,대구,956476,980896,27683,32726
2019,4,201904,인천,1066080,1342889,40033,53560
2019,4,201904,광주,535493,552322,17825,20966
2019,4,201904,대전,544261,559298,19193,21916
2019,4,201904,울산,462540,471180,12957,15375
2019,4,201904,세종,132433,133395,3786,4341
2019,4,201904,경기,4542077,4625530,180073,216411
2019,4,201904,강원,569709,583457,25021,29705
2019,4,201904,충북,616728,632521,26196,30924
2019,4,201904,충남,818419,833569,36541,43171
2019,4,201904,전북,675443,696456,28445,33905
2019,4,201904,전남,651589,751120,30939,40640
2019,4,201904,경북,1039352,1056776,42747,49927
2019,4,201904,경남,1297167,1344172,46684,56084
2019,4,201904,제주,279680,464363,12083,20157
2019,5,201905,서울,2530595,2661549,97368,117713
2019,5,201905,부산,1067186,1137442,37281,44655
2019,5,201905,대구,957642,982019,27484,32566
2019,5,201905,인천,1067409,1349224,39715,53519
2019,5,201905,광주,536711,553476,17710,20861
2019,5,201905,대전,544397,559489,19005,21734
2019,5,201905,울산,462954,471595,12869,15297
2019,5,201905,세종,133275,134215,3793,4349
2019,5,201905,경기,4558446,4640680,179206,215525
2019,5,201905,강원,571252,584976,24959,29657
2019,5,201905,충북,618324,634082,26141,30901
2019,5,201905,충남,820408,835489,36422,43076
2019,5,201905,전북,676615,698435,28358,33872
2019,5,201905,전남,652878,752365,30908,40579
2019,5,201905,경북,1041527,1058914,42637,49835
2019,5,201905,경남,1299535,1347602,46591,56001
2019,5,201905,제주,280910,468147,12030,20150
2019,6,201906,서울,2529506,2660664,96725,117705
2019,6,201906,부산,1068544,1139856,37184,44592
2019,6,201906,대구,959109,983467,27357,32425
2019,6,201906,인천,1069869,1356319,39480,53002
2019,6,201906,광주,537724,554489,17664,20793
2019,6,201906,대전,544673,559767,18902,21622
2019,6,201906,울산,463728,472342,12818,15248
2019,6,201906,세종,134389,135302,3801,4356
2019,6,201906,경기,4575717,4657543,178767,215254
2019,6,201906,강원,572812,586592,24911,29667
2019,6,201906,충북,619877,635720,26071,30827
2019,6,201906,충남,822325,837321,36364,43023
2019,6,201906,전북,678145,699927,28266,33783
2019,6,201906,전남,654361,754526,30871,40552
2019,6,201906,경북,1043478,1060817,42541,49733
2019,6,201906,경남,1301902,1350784,46475,55897
2019,6,201906,제주,281540,472529,11968,20102
2019,7,201907,서울,2530937,2662543,96015,116932
2019,7,201907,부산,1070064,1141055,36989,44369
2019,7,201907,대구,960448,984858,27258,32331
2019,7,201907,인천,1071947,1364193,39272,52960
2019,7,201907,광주,539376,555975,17605,20737
2019,7,201907,대전,545218,560425,18816,21523
2019,7,201907,울산,464613,473226,12795,15233
2019,7,201907,세종,135758,136672,3808,4377
2019,7,201907,경기,4595174,4674946,178299,214604
2019,7,201907,강원,574543,588378,24867,29600
2019,7,201907,충북,621739,637814,26000,30765
2019,7,201907,충남,824201,839179,36366,43010
2019,7,201907,전북,679238,700822,28148,33660
2019,7,201907,전남,655948,756300,30841,40479
2019,7,201907,경북,1045456,1062716,42485,49649
2019,7,201907,경남,1304738,1354504,46384,55801
2019,7,201907,제주,281176,477369,11887,20077
2019,8,201908,서울,2531727,2663566,95459,116450
2019,8,201908,부산,1071268,1143117,36855,44257
2019,8,201908,대구,962016,986623,27175,32188
2019,8,201908,인천,1073020,1365669,38990,52783
2019,8,201908,광주,540627,557120,17515,20649
2019,8,201908,대전,545479,560698,18704,21403
2019,8,201908,울산,465250,473907,12736,15173
2019,8,201908,세종,136814,137728,3838,4403
2019,8,201908,경기,4609933,4689682,177616,213899
2019,8,201908,강원,576153,590035,24862,29600
2019,8,201908,충북,623265,639455,25944,30732
2019,8,201908,충남,826150,841050,36316,42939
2019,8,201908,전북,680643,702205,28138,33645
2019,8,201908,전남,657055,757860,30813,40356
2019,8,201908,경북,1047419,1064649,42386,49557
2019,8,201908,경남,1306974,1356959,46274,55693
2019,8,201908,제주,281183,481167,11871,20087
2019,9,201909,서울,2533578,2665342,95003,116144
2019,9,201909,부산,1072852,1145692,36770,44187
2019,9,201909,대구,963925,988534,27098,32101
2019,9,201909,인천,1075417,1368254,38771,52346
2019,9,201909,광주,541829,558227,17464,20599
2019,9,201909,대전,546286,561491,18611,21317
2019,9,201909,울산,466003,474660,12716,15145
2019,9,201909,세종,137817,138732,3836,4402
2019,9,201909,경기,4618286,4698833,176091,212418
2019,9,201909,강원,577757,591559,24828,29589
2019,9,201909,충북,624995,641246,25934,30716
2019,9,201909,충남,828354,843777,36272,42913
2019,9,201909,전북,681876,703296,28069,33574
2019,9,201909,전남,659184,760462,30787,40321
2019,9,201909,경북,1049798,1066942,42352,49530
2019,9,201909,경남,1310129,1360698,46204,55698
2019,9,201909,제주,280815,483813,11750,19907
2019,10,201910,서울,2534451,2666195,94400,115519
2019,10,201910,부산,1073510,1145327,36551,43991
2019,10,201910,대구,964599,992017,26931,31945
2019,10,201910,인천,1077921,1374324,38593,52100
2019,10,201910,광주,542789,559198,17407,20532
2019,10,201910,대전,546853,562038,18506,21219
2019,10,201910,울산,466077,474717,12668,15102
2019,10,201910,세종,139225,140165,3850,4426
2019,10,201910,경기,4628295,4708420,175104,211459
2019,10,201910,강원,577959,591780,24642,29438
2019,10,201910,충북,626525,642872,25828,30630
2019,10,201910,충남,830060,845449,36140,42774
2019,10,201910,전북,681597,702894,27837,33343
2019,10,201910,전남,660349,762759,30728,40203
2019,10,201910,경북,1050777,1067858,42238,49391
2019,10,201910,경남,1311183,1359512,45933,55468
2019,10,201910,제주,280370,487096,11693,19835
2019,11,201911,서울,2536568,2668175,93859,114942
2019,11,201911,부산,1075568,1148948,36371,43836
2019,11,201911,대구,966529,994527,26845,31860
2019,11,201911,인천,1081096,1378341,38349,51935
2019,11,201911,광주,543816,560177,17329,20488
2019,11,201911,대전,547557,562704,18426,21135
2019,11,201911,울산,466656,475446,12634,15061
2019,11,201911,세종,140364,141303,3855,4436
2019,11,201911,경기,4643149,4723262,174211,210619
2019,11,201911,강원,579327,593212,24538,29345
2019,11,201911,충북,627929,644252,25692,30527
2019,11,201911,충남,831239,846643,36013,42669
2019,11,201911,전북,682806,703976,27713,33221
2019,11,201911,전남,662234,764740,30643,40121
2019,11,201911,경북,1052555,1069660,42035,49172
2019,11,201911,경남,1313127,1362490,45759,55280
2019,11,201911,제주,280207,491295,11654,19854
2019,12,201912,서울,2538890,2670803,93250,114310
2019,12,201912,부산,1077838,1152712,36251,43687
2019,12,201912,대구,967158,995003,26693,31688
2019,12,201912,인천,1084566,1383849,38222,51756
2019,12,201912,광주,544455,560725,17302,20453
2019,12,201912,대전,548521,563646,18327,21027
2019,12,201912,울산,467645,476409,12617,15043
2019,12,201912,세종,141324,142265,3852,4439
2019,12,201912,경기,4658015,4737467,173694,210195
2019,12,201912,강원,580566,594377,24473,29269
2019,12,201912,충북,629115,645420,25515,30343
2019,12,201912,충남,833189,848515,35863,42498
2019,12,201912,전북,684714,705785,27698,33218
2019,12,201912,전남,664639,767000,30536,39950
2019,12,201912,경북,1055185,1072203,41905,49038
2019,12,201912,경남,1315862,1366284,45696,55134
2019,12,201912,제주,280041,495054,11600,19751
2020,1,202001,서울,2542280,2673913,92965,114005
2020,1,202001,부산,1079059,1154545,36158,43618
2020,1,202001,대구,968401,996304,26633,31627
2020,1,202001,인천,1086869,1385976,38147,51583
2020,1,202001,광주,545858,561992,17305,20444
2020,1,202001,대전,549724,564839,18297,20996
2020,1,202001,울산,468669,477313,12615,15031
2020,1,202001,세종,142372,143316,3861,4463
2020,1,202001,경기,4670232,4749591,173366,209979
2020,1,202001,강원,582260,596080,24464,29258
2020,1,202001,충북,630537,646903,25403,30235
2020,1,202001,충남,835957,851238,35818,42426
2020,1,202001,전북,686196,707221,27712,33219
2020,1,202001,전남,665693,771066,30520,39931
2020,1,202001,경북,1057704,1074746,41899,49055
2020,1,202001,경남,1318906,1370360,45707,55152
2020,1,202001,제주,279574,498859,11544,19747
2020,2,202002,서울,2540857,2671522,92398,113364
2020,2,202002,부산,1079563,1156385,36081,43535
2020,2,202002,대구,968892,996614,26538,31519
2020,2,202002,인천,1086864,1384589,37958,51319
2020,2,202002,광주,546373,562449,17272,20390
2020,2,202002,대전,550182,565217,18310,21004
2020,2,202002,울산,468688,477325,12592,15009
2020,2,202002,세종,143307,144252,3874,4471
2020,2,202002,경기,4673696,4752598,172372,209014
2020,2,202002,강원,583136,596868,24436,29232
2020,2,202002,충북,631856,648060,25370,30199
2020,2,202002,충남,837285,852535,35838,42426
2020,2,202002,전북,686826,707683,27740,33233
2020,2,202002,전남,666452,771582,30506,39878
2020,2,202002,경북,1058825,1075772,41882,49010
2020,2,202002,경남,1320929,1373420,45701,55121
2020,2,202002,제주,279980,500959,11506,19654
2020,3,202003,서울,2543567,2673192,91798,112657
2020,3,202003,부산,1079903,1157667,35847,43290
2020,3,202003,대구,970852,998458,26544,31522
2020,3,202003,인천,1089833,1388962,37947,51166
2020,3,202003,광주,548531,564438,17282,20370
2020,3,202003,대전,552347,567175,18291,20984
2020,3,202003,울산,469752,478370,12566,14971
2020,3,202003,세종,144227,145166,3864,4461
2020,3,202003,경기,4696495,4774567,171982,208681
2020,3,202003,강원,584400,598126,24296,29059
2020,3,202003,충북,636509,652572,25240,30025
2020,3,202003,충남,839507,854677,35757,42372
2020,3,202003,전북,688374,709213,27645,33134
2020,3,202003,전남,668285,773279,30366,39671
2020,3,202003,경북,1059168,1076028,41678,48787
2020,3,202003,경남,1322756,1376744,45454,54843
2020,3,202003,제주,283225,506048,11478,19541
2020,4,202004,서울,2548095,2677243,91452,111968
2020,4,202004,부산,1082388,1161561,35730,43155
2020,4,202004,대구,974220,1001754,26538,31500
2020,4,202004,인천,1093230,1406416,37827,51255
2020,4,202004,광주,550606,566442,17251,20344
2020,4,202004,대전,553809,568667,18201,20883
2020,4,202004,울산,470633,479243,12502,14910
2020,4,202004,세종,144808,145664,3851,4443
2020,4,202004,경기,4722145,4801534,171861,208558
2020,4,202004,강원,586252,599926,24231,28984
2020,4,202004,충북,638399,654505,25198,29986
2020,4,202004,충남,841220,856335,35528,42123
2020,4,202004,전북,689948,710593,27452,32936
2020,4,202004,전남,670407,774643,30315,39534
2020,4,202004,경북,1061204,1077981,41614,48700
2020,4,202004,경남,1326267,1381526,45305,54670
2020,4,202004,제주,283971,495793,11412,19173
2020,5,202005,서울,2553895,2682910,91020,111330
2020,5,202005,부산,1085671,1165643,35625,43045
2020,5,202005,대구,975837,1003358,26287,31229
2020,5,202005,인천,1096722,1409787,37738,51068
2020,5,202005,광주,552300,568029,17171,20245
2020,5,202005,대전,555382,570170,18032,20713
2020,5,202005,울산,471539,480139,12461,14845
2020,5,202005,세종,145200,146052,3810,4402
2020,5,202005,경기,4746030,4824718,171523,208178
2020,5,202005,강원,588893,602539,24212,28996
2020,5,202005,충북,640943,657081,25161,29963
2020,5,202005,충남,844309,859403,35475,42077
2020,5,202005,전북,692471,712842,27382,32910
2020,5,202005,전남,673094,777946,30285,39485
2020,5,202005,경북,1063881,1080592,41585,48692
2020,5,202005,경남,1329751,1386147,45237,54574
2020,5,202005,제주,285407,500721,11377,19142
2020,6,202006,서울,2562705,2691874,90549,110589
2020,6,202006,부산,1089974,1170655,35453,42943
2020,6,202006,대구,979663,1007081,26173,31116
2020,6,202006,인천,1100942,1415718,37599,50927
2020,6,202006,광주,554788,570487,17107,20177
2020,6,202006,대전,557138,571699,17967,20660
2020,6,202006,울산,473321,482179,12419,14807
2020,6,202006,세종,145635,146487,3764,4363
2020,6,202006,경기,4774495,4852875,170987,207704
2020,6,202006,강원,592408,606003,24203,29000
2020,6,202006,충북,644877,660953,25180,29987
2020,6,202006,충남,849144,864246,35384,41988
2020,6,202006,전북,695370,715742,27329,32867
2020,6,202006,전남,676270,782719,30292,39587
2020,6,202006,경북,1067721,1084359,41537,48691
2020,6,202006,경남,1335020,1393312,45081,54413
2020,6,202006,제주,286887,505487,11363,19135
2020,7,202007,서울,2567831,2698140,90119,109845
2020,7,202007,부산,1091627,1174802,35296,42832
2020,7,202007,대구,983786,1011284,26121,31056
2020,7,202007,인천,1104428,1419458,37443,50681
2020,7,202007,광주,556262,571952,17122,20186
2020,7,202007,대전,558750,573340,17967,20647
2020,7,202007,울산,475284,484153,12409,14800
2020,7,202007,세종,146467,147319,3747,4348
2020,7,202007,경기,4792695,4870971,170608,207280
2020,7,202007,강원,595257,608948,24202,28996
2020,7,202007,충북,647201,663456,25097,29909
2020,7,202007,충남,852716,867779,35396,41967
2020,7,202007,전북,697178,717393,27327,32838
2020,7,202007,전남,678785,786996,30282,39647
2020,7,202007,경북,1070480,1087095,41474,48703
2020,7,202007,경남,1338624,1397267,45040,54312
2020,7,202007,제주,288186,511143,11333,19117
2020,8,202008,서울,2569281,2699801,89658,109050
2020,8,202008,부산,1092950,1176697,35212,42737
2020,8,202008,대구,990689,1018149,26056,31006
2020,8,202008,인천,1102815,1416835,37258,50336
2020,8,202008,광주,556003,571627,17066,20123
2020,8,202008,대전,558473,573033,17937,20622
2020,8,202008,울산,475282,484144,12315,14712
2020,8,202008,세종,147280,148210,3727,4327
2020,8,202008,경기,4805842,4883946,170227,206776
2020,8,202008,강원,596789,610444,24132,28907
2020,8,202008,충북,648313,664649,25034,29858
2020,8,202008,충남,854085,869059,35319,41912
2020,8,202008,전북,698008,718142,27264,32774
2020,8,202008,전남,679708,789593,30170,39540
2020,8,202008,경북,1071821,1088332,41370,48558
2020,8,202008,경남,1339430,1398824,44928,54174
2020,8,202008,제주,289014,514328,11334,19121
2020,9,202009,서울,2572932,2703429,89032,108205
2020,9,202009,부산,1095606,1180159,35103,42566
2020,9,202009,대구,995490,1022921,26042,30973
2020,9,202009,인천,1105068,1417527,37090,49972
2020,9,202009,광주,558151,573740,17062,20090
2020,9,202009,대전,560214,574798,17881,20565
2020,9,202009,울산,475837,484686,12252,14642
2020,9,202009,세종,147982,148913,3736,4334
2020,9,202009,경기,4829671,4908707,169869,206361
2020,9,202009,강원,598705,612314,24141,28908
2020,9,202009,충북,650691,667142,24927,29734
2020,9,202009,충남,857101,872074,35193,41793
2020,9,202009,전북,699824,719974,27186,32694
2020,9,202009,전남,681661,794730,30044,39396
2020,9,202009,경북,1074203,1090722,41231,48393
2020,9,202009,경남,1342678,1403276,44748,54013
2020,9,202009,제주,290221,518685,11313,19141
2020,10,202010,서울,2576019,2705842,88509,107701
2020,10,202010,부산,1097949,1183236,34981,42444
2020,10,202010,대구,996089,1023324,25808,30731
2020,10,202010,인천,1107328,1420633,37064,49895
2020,10,202010,광주,558934,574434,16989,20004
2020,10,202010,대전,560504,575165,17667,20342
2020,10,202010,울산,476222,485087,12191,14575
2020,10,202010,세종,149513,150464,3753,4347
2020,10,202010,경기,4848137,4927443,169098,205633
2020,10,202010,강원,600345,613872,24132,28876
2020,10,202010,충북,652584,669120,24837,29622
2020,10,202010,충남,859010,874080,35090,41655
2020,10,202010,전북,701233,721246,27152,32639
2020,10,202010,전남,683562,797059,29983,39311
2020,10,202010,경북,1076747,1093218,41126,48272
2020,10,202010,경남,1345295,1407461,44547,53763
2020,10,202010,제주,290887,522174,11265,19089
2020,11,202011,서울,2580570,2710427,87964,107116
2020,11,202011,부산,1100834,1186674,34843,42290
2020,11,202011,대구,998269,1025331,25674,30584
2020,11,202011,인천,1111308,1425017,36938,49707
2020,11,202011,광주,560443,575934,16962,19976
2020,11,202011,대전,561396,576115,17515,20206
2020,11,202011,울산,477244,486089,12191,14573
2020,11,202011,세종,151079,152033,3752,4344
2020,11,202011,경기,4868613,4947803,168444,204977
