year,sido,sigungu,count,income,income_per_person
2024,서울,강남구,179449,22169913,123.5443664
2024,서울,강동구,129427,4596287,35.51258238
2024,서울,강북구,71159,1493286,20.98520215
2024,서울,강서구,146603,4270842,29.13202322
2024,서울,관악구,142776,3293963,23.07084524
2024,서울,광진구,99752,3552238,35.61069452
2024,서울,구로구,106348,2874105,27.02547298
2024,서울,금천구,65676,1443860,21.98459102
2024,서울,노원구,114032,3168115,27.78268381
2024,서울,도봉구,75839,1772063,23.3661177
2024,서울,동대문구,92084,2669779,28.99286521
2024,서울,동작구,102409,3576895,34.92754543
2024,서울,마포구,105356,4516195,42.86604465
2024,서울,서대문구,81577,2781106,34.09179058
2024,서울,서초구,129194,14222426,110.0858089
2024,서울,성동구,78788,4161225,52.81546682
2024,서울,성북구,110471,4195447,37.97781318
2024,서울,송파구,184754,10099965,54.66709787
2024,서울,양천구,112460,5158923,45.87340388
2024,서울,영등포구,110739,4681230,42.27264107
2024,서울,용산구,64711,8858932,136.8999397
2024,서울,은평구,119670,3131496,26.16776134
2024,서울,종로구,40972,2457056,59.96914966
2024,서울,중구,36153,1810205,50.07067187
2024,서울,중랑구,101125,2245223,22.20245241
2024,인천,중구,44143,1139306,25.80943751
2024,인천,강화군,14695,380221,25.87417489
2024,인천,계양구,73352,1586097,21.62309139
2024,인천,남동구,123206,3062439,24.85624888
2024,인천,동구,13163,275111,20.90032667
2024,인천,미추홀구,107016,2257247,21.09261232
2024,인천,부평구,130997,3040869,23.21327206
2024,인천,서구,168468,4649726,27.60005461
2024,인천,연수구,108559,4858437,44.75388498
2024,인천,옹진군,4142,107096,25.85610816
2024,경기,가평군,14420,368780,25.5742025
2024,경기,고양시,291572,9068087,31.10067839
2024,경기,과천시,21344,1434312,67.19977511
2024,경기,광명시,71904,2327273,32.3663913
2024,경기,광주시,112687,3060958,27.16336401
2024,경기,구리시,50680,1387198,27.37170481
2024,경기,군포시,65546,1925874,29.38202179
2024,경기,김포시,130183,3814232,29.29900217
2024,경기,남양주시,196088,5328406,27.17354453
2024,경기,동두천시,19293,391715,20.30347795
2024,경기,부천시,213132,5661856,26.56502074
2024,경기,성남시,239956,12453479,51.89901065
2024,경기,수원시,310754,10093243,32.47984901
2024,경기,시흥시,144988,3678860,25.37354816
2024,경기,안산시,176060,4300728,24.42762695
2024,경기,안성시,50028,1221726,24.42084433
2024,경기,안양시,143106,4723017,33.00362668
2024,경기,양주시,73929,1722792,23.30333157
2024,경기,양평군,29500,1023442,34.69294915
2024,경기,여주시,26947,670705,24.88978365
2024,경기,연천군,7684,168569,21.93766268
2024,경기,오산시,68832,1688981,24.53772954
2024,경기,용인시,273941,10440089,38.11072092
2024,경기,의왕시,40457,1430396,35.35595818
2024,경기,의정부시,119620,2694588,22.52623307
2024,경기,이천시,53543,1479176,27.6259455
2024,경기,파주시,132774,3343909,25.18496844
2024,경기,평택시,151393,4074088,26.91067619
2024,경기,포천시,34426,861566,25.0266078
2024,경기,하남시,88019,2961183,33.64254309
2024,경기,화성시,240459,8355183,34.74680923
2024,강원,강릉시,42878,1209268,28.2025281
2024,강원,고성군,5225,123336,23.60497608
2024,강원,동해시,15419,416651,27.02192101
2024,강원,삼척시,9934,264033,26.57871955
2024,강원,속초시,17741,512208,28.87142777
2024,강원,양구군,3239,75053,23.17165792
2024,강원,양양군,5479,140639,25.66873517
2024,강원,영월군,5996,156224,26.05470314
2024,강원,원주시,79346,2196865,27.68715499
2024,강원,인제군,5366,140030,26.0957883
2024,강원,정선군,5353,128520,24.00896693
2024,강원,철원군,6571,151945,23.12357328
2024,강원,춘천시,58328,1633113,27.99878275
2024,강원,태백시,6252,166893,26.69433781
2024,강원,평창군,7636,203517,26.65230487
2024,강원,홍천군,12124,302354,24.93846915
2024,강원,화천군,3732,87798,23.52572347
2024,강원,횡성군,8180,199742,24.41833741
2024,대전,중구,46485,1286055,27.6660213
2024,대전,동구,43561,1017493,23.35788894
2024,대전,서구,104499,3240747,31.01222978
2024,대전,대덕구,35381,854348,24.14708459
2024,대전,유성구,86123,3615335,41.97873971
2024,충북,괴산군,5817,134999,23.20766718
2024,충북,단양군,4487,106625,23.76309338
2024,충북,보은군,4531,102828,22.69432796
2024,충북,영동군,6136,149201,24.31567797
2024,충북,옥천군,8309,209618,25.22782525
2024,충북,음성군,20098,545004,27.11732511
2024,충북,제천시,24083,637507,26.47124528
2024,충북,증평군,7142,175750,24.60795295
2024,충북,진천군,18796,537082,28.57427112
2024,충북,청주시,181629,5549038,30.55149783
