year,month,yyyymm,sido,passenger_cumulcar,passenger_cumulimportedcar,van_cumulcar,van_cumulimportedcar
2018,01,201801,서울,13255,3950,447,16
2018,01,201801,부산,7038,3077,159,13
2018,01,201801,대구,4455,2021,125,13
2018,01,201801,인천,15165,2985,731,13
2018,01,201801,광주,2712,497,67,8
2018,01,201801,대전,2881,494,77,3
2018,01,201801,울산,3079,270,56,3
2018,01,201801,세종,703,130,18,0
2018,01,201801,경기,27309,4882,838,81
2018,01,201801,강원,3306,380,145,3
2018,01,201801,충북,3520,363,113,10
2018,01,201801,충남,4773,563,145,10
2018,01,201801,전북,3750,449,114,8
2018,01,201801,전남,5631,418,171,10
2018,01,201801,경북,5253,553,156,12
2018,01,201801,경남,7445,1480,159,7
2018,01,201801,제주,6764,344,135,3
2018,02,201802,서울,23746,7713,832,32
2018,02,201802,부산,12014,5792,313,18
2018,02,201802,대구,7373,3827,225,31
2018,02,201802,인천,25975,5517,1036,18
2018,02,201802,광주,4667,901,132,15
2018,02,201802,대전,4936,938,133,10
2018,02,201802,울산,5202,531,110,7
2018,02,201802,세종,1192,252,29,1
2018,02,201802,경기,47250,9672,1554,137
2018,02,201802,강원,5674,739,273,8
2018,02,201802,충북,6136,729,200,21
2018,02,201802,충남,8303,1107,279,24
2018,02,201802,전북,6348,834,224,11
2018,02,201802,전남,9882,799,311,18
2018,02,201802,경북,8960,1081,301,23
2018,02,201802,경남,12424,2801,321,18
2018,02,201802,제주,12216,688,301,3
2018,03,201803,서울,36412,12791,1262,65
2018,03,201803,부산,18366,9131,475,22
2018,03,201803,대구,11360,6205,358,50
2018,03,201803,인천,38523,9133,1386,24
2018,03,201803,광주,7350,1548,200,23
2018,03,201803,대전,7619,1551,200,16
2018,03,201803,울산,8648,841,170,14
2018,03,201803,세종,1844,384,43,5
2018,03,201803,경기,72953,15952,2526,226
2018,03,201803,강원,8994,1227,403,17
2018,03,201803,충북,9550,1191,325,31
2018,03,201803,충남,12892,1807,445,40
2018,03,201803,전북,9752,1403,345,19
2018,03,201803,전남,15824,1352,486,21
2018,03,201803,경북,13508,1759,463,42
2018,03,201803,경남,19129,4482,518,28
2018,03,201803,제주,19453,1267,464,6
2018,04,201804,서울,49157,17764,1784,105
2018,04,201804,부산,24842,12363,625,34
2018,04,201804,대구,15162,8253,485,67
2018,04,201804,인천,50749,12755,1792,49
2018,04,201804,광주,9978,2173,296,31
2018,04,201804,대전,10204,2168,280,26
2018,04,201804,울산,11724,1148,231,23
