year,month,yyyymm,sido,passenger_newcar,passenger_newimported,van_newcar,van_newimported
2018,9,201809,경북,3721,348,146,11
2018,9,201809,경남,5008,573,222,11
2018,9,201809,제주,7471,496,240,0
2018,10,201810,서울,12881,3999,597,25
2018,10,201810,부산,6026,2559,203,9
2018,10,201810,대구,4081,1864,135,13
2018,10,201810,인천,11577,4076,360,10
2018,10,201810,광주,2668,482,60,5
2018,10,201810,대전,2867,498,64,9
2018,10,201810,울산,2649,216,65,3
2018,10,201810,세종,612,145,17,6
2018,10,201810,경기,25263,5004,885,90
2018,10,201810,강원,3471,357,150,10
2018,10,201810,충북,3779,445,129,15
2018,10,201810,충남,4628,518,201,13
2018,10,201810,전북,3456,414,134,10
2018,10,201810,전남,5052,409,144,4
2018,10,201810,경북,4495,534,170,18
2018,10,201810,경남,6425,1228,277,25
2018,10,201810,제주,7545,443,186,0
2018,11,201811,서울,13004,4334,595,16
2018,11,201811,부산,5898,2663,255,11
2018,11,201811,대구,4408,2168,134,14
2018,11,201811,인천,13175,4360,507,7
2018,11,201811,광주,2750,463,78,5
2018,11,201811,대전,2897,455,80,2
2018,11,201811,울산,2970,207,85,5
2018,11,201811,세종,660,147,60,6
2018,11,201811,경기,25475,5566,1039,54
2018,11,201811,강원,3424,372,128,8
2018,11,201811,충북,3347,369,145,12
2018,11,201811,충남,4738,522,179,6
2018,11,201811,전북,3490,416,141,1
2018,11,201811,전남,5264,412,231,10
2018,11,201811,경북,4645,534,251,13
2018,11,201811,경남,6472,1333,222,15
2018,11,201811,제주,7835,482,187,2
2018,12,201812,서울,11032,3971,391,27
2018,12,201812,부산,5449,2610,233,10
2018,12,201812,대구,3959,1939,107,9
2018,12,201812,인천,12735,3448,522,7
2018,12,201812,광주,2285,448,81,5
2018,12,201812,대전,2321,459,51,8
2018,12,201812,울산,2599,207,65,4
2018,12,201812,세종,615,102,19,0
2018,12,201812,경기,21214,4783,706,73
2018,12,201812,강원,2481,320,82,4
2018,12,201812,충북,2853,364,98,4
2018,12,201812,충남,3671,420,119,7
2018,12,201812,전북,2679,388,97,3
2018,12,201812,전남,6052,399,135,4
2018,12,201812,경북,3842,503,132,13
2018,12,201812,경남,5920,1188,170,15
2018,12,201812,제주,6979,417,134,2
2019,1,201901,서울,13448,3386,657,21
2019,1,201901,부산,6464,2299,236,8
2019,1,201901,대구,4452,1714,135,18
2019,1,201901,인천,14416,2826,375,6
2019,1,201901,광주,2856,420,94,7
2019,1,201901,대전,2831,425,103,2
2019,1,201901,울산,3028,203,106,4
2019,1,201901,세종,727,99,15,4
2019,1,201901,경기,27729,4296,1103,66
2019,1,201901,강원,3265,303,118,7
2019,1,201901,충북,3363,376,149,5
2019,1,201901,충남,4841,444,149,12
2019,1,201901,전북,3729,332,107,1
2019,1,201901,전남,5030,380,189,7
2019,1,201901,경북,4913,425,198,17
2019,1,201901,경남,7007,1138,241,14
2019,1,201901,제주,7077,465,204,0
2019,2,201902,서울,9322,3069,375,13
2019,2,201902,부산,4436,2011,213,8
2019,2,201902,대구,2730,1383,68,10
2019,2,201902,인천,10619,2369,246,7
2019,2,201902,광주,2027,386,44,5
2019,2,201902,대전,1906,362,58,7
2019,2,201902,울산,1886,162,62,4
2019,2,201902,세종,491,111,10,2
2019,2,201902,경기,19941,3799,709,54
2019,2,201902,강원,2378,272,110,6
2019,2,201902,충북,2486,284,89,5
2019,2,201902,충남,3335,366,108,5
2019,2,201902,전북,2536,329,88,5
2019,2,201902,전남,3516,316,125,4
2019,2,201902,경북,3228,390,103,10
2019,2,201902,경남,4734,919,171,14
2019,2,201902,제주,5375,383,167,2
2019,3,201903,서울,13111,3639,564,24
2019,3,201903,부산,5739,2317,226,5
2019,3,201903,대구,3422,1924,123,14
2019,3,201903,인천,14304,2687,607,16
2019,3,201903,광주,2445,419,68,6
2019,3,201903,대전,2397,431,59,9
2019,3,201903,울산,2453,207,82,3
2019,3,201903,세종,672,129,15,2
2019,3,201903,경기,24536,4366,992,84
2019,3,201903,강원,3073,325,131,24
2019,3,201903,충북,3118,304,144,11
2019,3,201903,충남,4207,493,155,8
2019,3,201903,전북,3040,370,85,7
2019,3,201903,전남,5912,370,199,8
2019,3,201903,경북,4161,464,193,12
2019,3,201903,경남,5857,1039,226,14
2019,3,201903,제주,7102,509,234,1
2019,4,201904,서울,13241,3376,552,21
2019,4,201904,부산,6153,2469,204,9
2019,4,201904,대구,3741,1758,163,7
2019,4,201904,인천,14712,3049,526,9
2019,4,201904,광주,2541,459,76,8
2019,4,201904,대전,2501,387,66,8
2019,4,201904,울산,2897,175,68,5
2019,4,201904,세종,640,111,12,1
2019,4,201904,경기,24971,4044,956,79
2019,4,201904,강원,3081,319,158,14
2019,4,201904,충북,3269,331,149,14
2019,4,201904,충남,4500,500,170,9
2019,4,201904,전북,3365,361,123,4
2019,4,201904,전남,5046,531,187,8
2019,4,201904,경북,4359,479,188,16
2019,4,201904,경남,7311,1239,236,18
2019,4,201904,제주,7261,440,226,0
2019,5,201905,서울,12210,3739,649,27
2019,5,201905,부산,5947,2315,208,7
2019,5,201905,대구,3764,1717,110,8
2019,5,201905,인천,15492,3353,526,10
2019,5,201905,광주,2532,432,69,4
2019,5,201905,대전,2609,484,105,11
2019,5,201905,울산,2714,199,44,8
2019,5,201905,세종,632,159,6,2
2019,5,201905,경기,23586,4828,683,71
2019,5,201905,강원,2967,380,81,6
2019,5,201905,충북,3212,356,108,8
2019,5,201905,충남,4249,573,123,13
2019,5,201905,전북,2893,390,98,4
2019,5,201905,전남,4296,481,154,7
2019,5,201905,경북,4216,504,151,13
2019,5,201905,경남,7135,1335,167,14
2019,5,201905,제주,7866,421,174,1
2019,6,201906,서울,10862,3650,403,21
2019,6,201906,부산,4979,2516,172,13
2019,6,201906,대구,3306,1826,65,9
2019,6,201906,인천,13956,3141,543,36
2019,6,201906,광주,2222,454,47,8
2019,6,201906,대전,2294,462,38,8
2019,6,201906,울산,2642,197,54,6
2019,6,201906,세종,576,141,12,6
2019,6,201906,경기,20979,4589,725,94
2019,6,201906,강원,2709,342,142,7
2019,6,201906,충북,2719,353,93,9
2019,6,201906,충남,3576,496,112,16
2019,6,201906,전북,2724,403,82,3
2019,6,201906,전남,4501,607,136,6
2019,6,201906,경북,3647,499,125,16
2019,6,201906,경남,6252,1500,166,16
2019,6,201906,제주,7373,465,153,2
2019,7,201907,서울,12524,3736,399,47
2019,7,201907,부산,5450,2462,128,22
2019,7,201907,대구,3671,1936,92,25
2019,7,201907,인천,14188,3098,274,33
2019,7,201907,광주,2582,430,55,13
2019,7,201907,대전,2575,495,48,15
2019,7,201907,울산,2749,207,47,6
2019,7,201907,세종,613,113,10,7
2019,7,201907,경기,23795,4828,504,122
2019,7,201907,강원,3128,401,83,13
2019,7,201907,충북,3067,386,88,16
2019,7,201907,충남,4041,533,103,36
2019,7,201907,전북,3207,379,71,11
2019,7,201907,전남,4826,569,152,18
2019,7,201907,경북,4219,435,115,23
2019,7,201907,경남,7240,1521,147,42
2019,7,201907,제주,8454,593,155,5
2019,8,201908,서울,11451,3584,289,34
2019,8,201908,부산,4724,2301,105,16
2019,8,201908,대구,3501,1826,45,17
2019,8,201908,인천,10837,3130,460,10
2019,8,201908,광주,2300,381,38,7
2019,8,201908,대전,2364,373,30,13
2019,8,201908,울산,2089,186,30,6
2019,8,201908,세종,574,128,10,5
2019,8,201908,경기,22229,4505,424,112
2019,8,201908,강원,2840,345,59,19
2019,8,201908,충북,2805,324,78,20
2019,8,201908,충남,3784,481,107,26
2019,8,201908,전북,2921,380,71,11
2019,8,201908,전남,4382,323,64,8
2019,8,201908,경북,3707,501,94,21
2019,8,201908,경남,6062,1333,127,22
2019,8,201908,제주,6625,370,117,4
2019,9,201909,서울,10874,4055,335,47
2019,9,201909,부산,4998,2512,101,32
2019,9,201909,대구,3404,2049,87,22
2019,9,201909,인천,11111,3392,222,41
2019,9,201909,광주,2273,445,54,15
2019,9,201909,대전,2286,467,43,16
2019,9,201909,울산,2388,259,48,7
2019,9,201909,세종,615,143,6,3
2019,9,201909,경기,23976,4935,581,133
2019,9,201909,강원,3135,341,109,14
2019,9,201909,충북,3002,376,71,39
2019,9,201909,충남,4051,498,108,35
2019,9,201909,전북,3136,424,82,19
2019,9,201909,전남,4878,477,127,12
2019,9,201909,경북,4012,477,110,25
2019,9,201909,경남,6375,1458,224,26
2019,9,201909,제주,6646,347,94,6
2019,10,201910,서울,11987,4377,450,52
2019,10,201910,부산,5329,2756,189,27
2019,10,201910,대구,3864,2439,154,15
2019,10,201910,인천,11963,3653,227,25
2019,10,201910,광주,2592,469,66,10
2019,10,201910,대전,2643,473,60,25
2019,10,201910,울산,2626,279,75,7
2019,10,201910,세종,692,167,14,8
2019,10,201910,경기,25394,5282,795,156
2019,10,201910,강원,3382,411,145,20
2019,10,201910,충북,3389,355,108,30
2019,10,201910,충남,4425,583,158,29
2019,10,201910,전북,3619,408,144,15
2019,10,201910,전남,5346,468,177,18
2019,10,201910,경북,4547,530,177,45
2019,10,201910,경남,7497,1546,275,35
2019,10,201910,제주,7317,407,145,5
2019,11,201911,서울,13221,5220,493,29
2019,11,201911,부산,6317,3193,157,11
2019,11,201911,대구,4168,2999,100,17
2019,11,201911,인천,11287,3721,318,22
2019,11,201911,광주,2885,514,80,4
2019,11,201911,대전,2868,538,83,12
2019,11,201911,울산,2809,391,53,5
2019,11,201911,세종,796,144,12,6
2019,11,201911,경기,27310,5630,721,115
2019,11,201911,강원,3472,398,128,11
2019,11,201911,충북,3779,397,148,22
2019,11,201911,충남,4776,551,123,27
2019,11,201911,전북,3721,386,116,16
2019,11,201911,전남,4839,520,171,11
2019,11,201911,경북,4972,596,136,18
2019,11,201911,경남,7762,1486,197,19
2019,11,201911,제주,7979,425,203,3
2019,12,201912,서울,12522,5791,439,38
2019,12,201912,부산,6047,3984,145,10
2019,12,201912,대구,4157,2614,82,12
2019,12,201912,인천,12364,4456,299,16
2019,12,201912,광주,2576,601,40,9
2019,12,201912,대전,2918,674,59,11
2019,12,201912,울산,2734,321,69,4
2019,12,201912,세종,761,205,24,2
2019,12,201912,경기,25197,6605,721,141
2019,12,201912,강원,2928,464,86,11
2019,12,201912,충북,3864,501,90,17
2019,12,201912,충남,4498,657,134,22
2019,12,201912,전북,3480,488,140,16
2019,12,201912,전남,4298,554,160,16
2019,12,201912,경북,4592,708,120,18
2019,12,201912,경남,7932,1650,149,41
2019,12,201912,제주,7437,456,146,3
2020,1,202001,서울,10653,2870,381,40
2020,1,202001,부산,4973,2016,131,7
2020,1,202001,대구,3556,1670,94,9
2020,1,202001,인천,9893,2709,256,17
2020,1,202001,광주,2418,339,39,8
2020,1,202001,대전,2320,362,61,9
2020,1,202001,울산,2461,156,48,4
2020,1,202001,세종,609,116,8,4
2020,1,202001,경기,22969,3468,706,70
2020,1,202001,강원,2936,280,89,14
2020,1,202001,충북,3279,280,101,14
2020,1,202001,충남,4249,408,145,17
2020,1,202001,전북,2960,290,104,12
2020,1,202001,전남,7114,380,129,11
2020,1,202001,경북,4256,420,139,20
2020,1,202001,경남,6965,1143,154,16
2020,1,202001,제주,7855,285,193,2
2020,2,202002,서울,7217,3844,260,39
2020,2,202002,부산,4362,2074,123,12
2020,2,202002,대구,2261,1583,51,15
2020,2,202002,인천,7708,2718,151,25
2020,2,202002,광주,1712,274,17,10
2020,2,202002,대전,1705,341,29,22
2020,2,202002,울산,1529,159,56,7
2020,2,202002,세종,436,115,12,5
2020,2,202002,경기,16214,3724,554,110
2020,2,202002,강원,2013,213,78,19
2020,2,202002,충북,2204,234,66,26
2020,2,202002,충남,2873,360,89,23
2020,2,202002,전북,2070,262,57,12
2020,2,202002,전남,3638,332,184,17
2020,2,202002,경북,2851,342,113,25
2020,2,202002,경남,5719,1256,119,36
2020,2,202002,제주,5519,326,67,3
2020,3,202003,서울,12453,4112,384,22
2020,3,202003,부산,6135,2755,135,6
2020,3,202003,대구,3477,1959,83,8
2020,3,202003,인천,12998,3318,178,16
2020,3,202003,광주,2896,502,43,5
2020,3,202003,대전,2803,522,52,11
2020,3,202003,울산,2743,246,48,7
2020,3,202003,세종,747,185,8,4
2020,3,202003,경기,27196,5250,682,52
2020,3,202003,강원,3629,387,86,7
2020,3,202003,충북,3482,312,70,4
2020,3,202003,충남,4725,537,144,15
2020,3,202003,전북,3767,455,85,6
2020,3,202003,전남,6102,482,133,6
2020,3,202003,경북,4251,457,138,10
2020,3,202003,경남,8932,1172,152,11
2020,3,202003,제주,9280,303,118,2
2020,4,202004,서울,13480,4099,438,27
2020,4,202004,부산,6320,2553,139,23
2020,4,202004,대구,3873,2214,105,9
2020,4,202004,인천,12834,3785,197,8
2020,4,202004,광주,3175,474,56,10
2020,4,202004,대전,3073,461,73,16
2020,4,202004,울산,3070,224,60,2
2020,4,202004,세종,704,175,9,5
2020,4,202004,경기,26926,4848,635,74
2020,4,202004,강원,3550,375,92,7
2020,4,202004,충북,3793,375,106,20
2020,4,202004,충남,5249,543,115,17
2020,4,202004,전북,4133,405,84,9
2020,4,202004,전남,5944,422,207,8
2020,4,202004,경북,4550,442,131,21
2020,4,202004,경남,8495,1239,164,25
2020,4,202004,제주,7549,378,121,1
2020,5,202005,서울,14324,4059,286,20
2020,5,202005,부산,6373,2705,138,8
2020,5,202005,대구,5084,2172,108,12
2020,5,202005,인천,12086,4042,181,21
2020,5,202005,광주,3537,509,49,8
2020,5,202005,대전,3628,514,49,9
2020,5,202005,울산,3095,231,52,1
2020,5,202005,세종,881,154,3,4
2020,5,202005,경기,29213,5060,620,75
2020,5,202005,강원,3726,379,113,14
2020,5,202005,충북,3983,438,104,11
2020,5,202005,충남,5223,562,106,13
2020,5,202005,전북,4119,405,135,9
2020,5,202005,전남,6268,406,148,10
2020,5,202005,경북,4939,490,155,14
2020,5,202005,경남,8636,1301,175,12
2020,5,202005,제주,7865,346,110,2
2020,6,202006,서울,17619,5742,382,37
2020,6,202006,부산,7721,3090,210,17
2020,6,202006,대구,5899,2198,101,7
2020,6,202006,인천,15456,5523,253,3
2020,6,202006,광주,4136,634,61,6
2020,6,202006,대전,3960,680,96,10
2020,6,202006,울산,3659,573,67,1
2020,6,202006,세종,1072,202,10,1
2020,6,202006,경기,36594,6407,680,70
2020,6,202006,강원,4653,494,113,7
2020,6,202006,충북,4637,533,121,15
2020,6,202006,충남,6310,689,143,14
2020,6,202006,전북,4752,543,107,10
2020,6,202006,전남,7704,543,294,12
2020,6,202006,경북,6110,652,212,17
2020,6,202006,경남,11262,1624,217,20
2020,6,202006,제주,8025,436,181,0
2020,7,202007,서울,14415,3603,364,26
2020,7,202007,부산,6165,2288,166,6
2020,7,202007,대구,4592,1674,89,5
2020,7,202007,인천,15181,3438,241,14
2020,7,202007,광주,3012,368,53,8
2020,7,202007,대전,3049,390,37,3
2020,7,202007,울산,3744,200,59,3
2020,7,202007,세종,790,132,7,0
2020,7,202007,경기,29031,4355,581,57
2020,7,202007,강원,3858,311,122,9
2020,7,202007,충북,3889,300,85,9
2020,7,202007,충남,5184,415,126,7
2020,7,202007,전북,3588,331,99,3
2020,7,202007,전남,7275,412,250,6
2020,7,202007,경북,4905,404,218,11
2020,7,202007,경남,9494,1027,187,7
2020,7,202007,제주,8849,360,163,3
2020,8,202008,서울,9761,4457,245,16
2020,8,202008,부산,4783,2824,129,8
2020,8,202008,대구,3106,2161,60,2
2020,8,202008,인천,9382,3884,140,3
2020,8,202008,광주,2134,470,44,6
2020,8,202008,대전,2242,501,44,5
2020,8,202008,울산,2448,233,24,1
2020,8,202008,세종,567,166,4,0
2020,8,202008,경기,19947,5274,314,35
2020,8,202008,강원,2800,358,62,6
2020,8,202008,충북,2802,374,61,8
2020,8,202008,충남,3660,519,112,13
2020,8,202008,전북,2690,394,70,2
2020,8,202008,전남,5360,408,101,4
2020,8,202008,경북,3537,520,97,10
2020,8,202008,경남,6197,1258,101,6
2020,8,202008,제주,5744,340,90,2
2020,9,202009,서울,13484,4741,224,11
2020,9,202009,부산,6105,2654,115,6
2020,9,202009,대구,4469,2080,68,5
2020,9,202009,인천,12902,3887,102,6
2020,9,202009,광주,3142,441,50,2
2020,9,202009,대전,3195,552,49,8
2020,9,202009,울산,3123,263,34,0
2020,9,202009,세종,828,206,7,1
2020,9,202009,경기,28460,5693,471,68
2020,9,202009,강원,3546,388,87,4
2020,9,202009,충북,3875,447,73,1
2020,9,202009,충남,5202,576,114,4
2020,9,202009,전북,3756,392,69,3
2020,9,202009,전남,6525,402,111,3
2020,9,202009,경북,4867,530,103,6
2020,9,202009,경남,8493,1363,108,8
2020,9,202009,제주,7874,423,128,0
2020,10,202010,서울,11808,4339,305,10
2020,10,202010,부산,5375,2747,133,5
2020,10,202010,대구,4093,1960,100,1
2020,10,202010,인천,10962,3934,136,16
2020,10,202010,광주,2649,507,40,2
2020,10,202010,대전,2962,569,56,4
2020,10,202010,울산,2756,239,36,2
2020,10,202010,세종,826,202,6,1
2020,10,202010,경기,25153,5589,448,28
2020,10,202010,강원,3030,420,75,9
2020,10,202010,충북,3300,446,78,5
2020,10,202010,충남,4478,627,106,9
2020,10,202010,전북,3261,423,67,1
2020,10,202010,전남,5741,456,133,2
2020,10,202010,경북,4423,557,132,4
2020,10,202010,경남,8154,1482,133,5
2020,10,202010,제주,6776,385,126,2
2020,11,202011,서울,13213,4935,354,9
2020,11,202011,부산,6104,3224,97,9
2020,11,202011,대구,4483,2088,73,1
2020,11,202011,인천,11902,4734,212,10
2020,11,202011,광주,3119,562,62,0
2020,11,202011,대전,3118,680,32,2
2020,11,202011,울산,3099,299,45,2
2020,11,202011,세종,876,241,4,0
2020,11,202011,경기,27933,6529,596,28
2020,11,202011,강원,3286,448,68,6
2020,11,202011,충북,3545,498,116,4
2020,11,202011,충남,4815,765,103,3
2020,11,202011,전북,3340,492,114,5
2020,11,202011,전남,6112,541,162,3
2020,11,202011,경북,5014,664,115,7
2020,11,202011,경남,8864,1478,144,6
2020,11,202011,제주,6983,444,153,3
2020,12,202012,서울,12711,5799,470,69
2020,12,202012,부산,5747,3446,117,1
2020,12,202012,대구,3989,2252,40,76
2020,12,202012,인천,11893,5265,202,14
2020,12,202012,광주,2565,579,80,2
2020,12,202012,대전,2562,706,65,4
2020,12,202012,울산,3222,348,44,2
2020,12,202012,세종,764,253,14,3
2020,12,202012,경기,24876,7317,490,84
2020,12,202012,강원,2881,504,70,8
2020,12,202012,충북,3083,542,97,4
2020,12,202012,충남,4459,784,96,7
2020,12,202012,전북,2742,540,76,1
2020,12,202012,전남,5341,553,145,4
2020,12,202012,경북,4443,634,154,4
2020,12,202012,경남,8769,1793,196,26
2020,12,202012,제주,6105,497,111,2
2021,1,202101,서울,11867,3441,198,28
2021,1,202101,부산,6217,2683,70,5
2021,1,202101,대구,4287,1427,38,2
2021,1,202101,인천,9975,4376,124,8
2021,1,202101,광주,2737,497,29,0
2021,1,202101,대전,2700,496,74,3
2021,1,202101,울산,3191,236,21,0
2021,1,202101,세종,769,198,26,1
2021,1,202101,경기,25344,4586,368,19
2021,1,202101,강원,3170,333,64,3
2021,1,202101,충북,3544,406,34,1
2021,1,202101,충남,4650,457,88,5
2021,1,202101,전북,3300,384,74,3
2021,1,202101,전남,7241,427,107,3
2021,1,202101,경북,5092,455,111,2
2021,1,202101,경남,9018,1375,135,23
2021,1,202101,제주,6262,306,109,2
2021,2,202102,서울,8931,3566,173,20
2021,2,202102,부산,4381,2774,63,5
2021,2,202102,대구,3024,1578,44,2
2021,2,202102,인천,7897,3892,58,28
2021,2,202102,광주,2013,448,13,1
2021,2,202102,대전,1982,499,36,0
2021,2,202102,울산,2298,237,32,3
2021,2,202102,세종,564,188,6,0
2021,2,202102,경기,19745,4972,304,37
2021,2,202102,강원,2370,360,62,1
2021,2,202102,충북,2620,476,51,1
2021,2,202102,충남,3343,518,58,6
2021,2,202102,전북,2534,374,42,5
2021,2,202102,전남,6369,423,48,4
2021,2,202102,경북,3494,528,65,1
2021,2,202102,경남,7052,1343,73,13
2021,2,202102,제주,5817,358,52,0
2021,3,202103,서울,11866,5376,164,21
2021,3,202103,부산,5969,3742,82,6
2021,3,202103,대구,3995,2005,56,3
2021,3,202103,인천,10474,4711,90,7
2021,3,202103,광주,2472,630,33,1
2021,3,202103,대전,2675,643,43,7
2021,3,202103,울산,2930,336,18,2
2021,3,202103,세종,744,264,21,0
2021,3,202103,경기,25594,7368,377,62
2021,3,202103,강원,3286,495,69,4
2021,3,202103,충북,3370,564,75,5
2021,3,202103,충남,4584,744,74,9
2021,3,202103,전북,3285,601,75,7
2021,3,202103,전남,7935,599,84,1
2021,3,202103,경북,4371,686,112,3
2021,3,202103,경남,8731,1684,144,5
2021,3,202103,제주,7573,573,93,2
2021,4,202104,서울,12295,4215,150,17
2021,4,202104,부산,6543,3281,79,5
2021,4,202104,대구,3981,1799,65,4
2021,4,202104,인천,12020,4149,60,8
2021,4,202104,광주,2609,531,21,0
2021,4,202104,대전,2601,543,39,1
2021,4,202104,울산,2874,301,28,3
2021,4,202104,세종,767,202,12,0
2021,4,202104,경기,25178,5699,345,45
2021,4,202104,강원,3368,414,39,9
2021,4,202104,충북,3358,441,60,5
2021,4,202104,충남,4747,587,69,4
2021,4,202104,전북,3253,434,49,3
2021,4,202104,전남,8293,504,79,6
2021,4,202104,경북,4619,563,64,1
2021,4,202104,경남,7998,1694,99,2
2021,4,202104,제주,8400,560,36,2
2021,5,202105,서울,10452,4876,366,24
2021,5,202105,부산,6026,3607,154,2
2021,5,202105,대구,3679,2044,92,3
2021,5,202105,인천,9966,3962,119,10
2021,5,202105,광주,2521,587,57,1
