year,month,yyyymm,sido,passenger_newcar,passenger_newimported,van_newcar,van_newimported
2018,1,201801,서울,13255,3950,447,16
2018,1,201801,부산,7038,3077,159,13
2018,1,201801,대구,4455,2021,125,13
2018,1,201801,인천,15165,2985,731,13
2018,1,201801,광주,2712,497,67,8
2018,1,201801,대전,2881,494,77,3
2018,1,201801,울산,3079,270,56,3
2018,1,201801,세종,703,130,18,0
2018,1,201801,경기,27309,4882,838,81
2018,1,201801,강원,3306,380,145,3
2018,1,201801,충북,3520,363,113,10
2018,1,201801,충남,4773,563,145,10
2018,1,201801,전북,3750,449,114,8
2018,1,201801,전남,5631,418,171,10
2018,1,201801,경북,5253,553,156,12
2018,1,201801,경남,7445,1480,159,7
2018,1,201801,제주,6764,344,135,3
2018,2,201802,서울,10491,3763,385,16
2018,2,201802,부산,4976,2715,154,5
2018,2,201802,대구,2918,1806,100,18
2018,2,201802,인천,10810,2532,305,5
2018,2,201802,광주,1955,404,65,7
2018,2,201802,대전,2055,444,56,7
2018,2,201802,울산,2123,261,54,4
2018,2,201802,세종,489,122,11,1
2018,2,201802,경기,19941,4790,716,56
2018,2,201802,강원,2368,359,128,5
2018,2,201802,충북,2616,366,87,11
2018,2,201802,충남,3530,544,134,14
2018,2,201802,전북,2598,385,110,3
2018,2,201802,전남,4251,381,140,8
2018,2,201802,경북,3707,528,145,11
2018,2,201802,경남,4979,1321,162,11
2018,2,201802,제주,5452,344,166,0
2018,3,201803,서울,12666,5078,430,33
2018,3,201803,부산,6352,3339,162,4
2018,3,201803,대구,3987,2378,133,19
2018,3,201803,인천,12548,3616,350,6
2018,3,201803,광주,2683,647,68,8
2018,3,201803,대전,2683,613,67,6
2018,3,201803,울산,3446,310,60,7
2018,3,201803,세종,652,132,14,4
2018,3,201803,경기,25703,6280,972,89
2018,3,201803,강원,3320,488,130,9
2018,3,201803,충북,3414,462,125,10
2018,3,201803,충남,4589,700,166,16
2018,3,201803,전북,3404,569,121,8
2018,3,201803,전남,5942,553,175,3
2018,3,201803,경북,4548,678,162,19
2018,3,201803,경남,6705,1681,197,10
2018,3,201803,제주,7237,579,163,3
2018,4,201804,서울,12745,4973,522,40
2018,4,201804,부산,6476,3232,150,12
2018,4,201804,대구,3802,2048,127,17
2018,4,201804,인천,12226,3622,406,25
2018,4,201804,광주,2628,625,96,8
2018,4,201804,대전,2585,617,80,10
2018,4,201804,울산,3076,307,61,9
2018,4,201804,세종,622,185,26,3
2018,4,201804,경기,25001,6220,881,119
2018,4,201804,강원,3283,500,112,14
2018,4,201804,충북,3454,513,120,18
2018,4,201804,충남,4579,702,170,14
2018,4,201804,전북,3695,567,139,15
2018,4,201804,전남,5276,507,174,10
2018,4,201804,경북,4341,640,153,21
2018,4,201804,경남,6279,1545,193,12
2018,4,201804,제주,7987,654,199,25
2018,5,201805,서울,12128,4624,360,23
2018,5,201805,부산,5940,3178,138,5
2018,5,201805,대구,3655,2235,96,19
2018,5,201805,인천,12647,3588,266,11
2018,5,201805,광주,2480,599,47,6
2018,5,201805,대전,2490,526,58,7
2018,5,201805,울산,2871,248,73,9
2018,5,201805,세종,598,149,10,3
2018,5,201805,경기,24463,5642,679,67
2018,5,201805,강원,3056,466,98,9
2018,5,201805,충북,3152,458,82,11
2018,5,201805,충남,4266,657,101,20
2018,5,201805,전북,3311,544,93,9
2018,5,201805,전남,5666,508,116,10
2018,5,201805,경북,4280,623,130,17
2018,5,201805,경남,5832,1311,150,13
2018,5,201805,제주,7402,610,149,1
2018,6,201806,서울,12196,4554,662,20
2018,6,201806,부산,6060,3072,196,6
2018,6,201806,대구,3893,2453,135,22
2018,6,201806,인천,12934,4013,326,20
2018,6,201806,광주,2404,589,91,10
2018,6,201806,대전,2390,570,99,6
2018,6,201806,울산,2524,271,91,9
2018,6,201806,세종,608,163,24,6
2018,6,201806,경기,23666,5959,905,103
2018,6,201806,강원,3109,454,146,17
2018,6,201806,충북,3128,444,94,11
2018,6,201806,충남,4172,646,144,20
2018,6,201806,전북,3298,504,120,4
2018,6,201806,전남,5751,543,152,14
2018,6,201806,경북,3933,595,176,14
2018,6,201806,경남,5900,1441,230,14
2018,6,201806,제주,7170,794,180,3
2018,7,201807,서울,12790,3956,659,26
2018,7,201807,부산,6452,2867,192,10
2018,7,201807,대구,3928,2114,109,22
2018,7,201807,인천,13272,3169,379,15
2018,7,201807,광주,2527,544,95,10
2018,7,201807,대전,2627,594,87,14
2018,7,201807,울산,2677,254,106,5
2018,7,201807,세종,593,136,34,6
2018,7,201807,경기,25647,5137,896,106
2018,7,201807,강원,3286,411,123,8
2018,7,201807,충북,3367,435,123,11
2018,7,201807,충남,4625,543,183,21
2018,7,201807,전북,3461,479,150,11
2018,7,201807,전남,5798,425,180,12
2018,7,201807,경북,4268,534,183,27
2018,7,201807,경남,6620,1342,256,24
2018,7,201807,제주,8518,872,220,1
2018,8,201808,서울,12658,3675,648,28
2018,8,201808,부산,5541,2474,116,11
2018,8,201808,대구,3882,1831,63,17
2018,8,201808,인천,11890,3694,228,11
2018,8,201808,광주,2431,424,50,8
2018,8,201808,대전,2744,518,53,3
2018,8,201808,울산,2470,226,45,3
2018,8,201808,세종,636,140,15,6
2018,8,201808,경기,24448,4714,605,72
2018,8,201808,강원,3125,395,91,13
2018,8,201808,충북,3203,331,66,8
2018,8,201808,충남,4174,463,109,15
2018,8,201808,전북,3171,407,59,5
2018,8,201808,전남,4656,385,107,6
2018,8,201808,경북,4181,444,119,12
2018,8,201808,경남,6062,1021,135,9
2018,8,201808,제주,6857,616,112,1
2018,9,201809,서울,11291,2842,459,23
2018,9,201809,부산,4810,1809,163,4
2018,9,201809,대구,3397,1196,88,14
2018,9,201809,인천,9480,6073,379,12
2018,9,201809,광주,2060,328,52,10
2018,9,201809,대전,2494,327,70,6
2018,9,201809,울산,2234,174,47,4
2018,9,201809,세종,617,120,12,3
2018,9,201809,경기,21372,3385,780,83
2018,9,201809,강원,2705,250,104,10
2018,9,201809,충북,2736,260,117,11
2018,9,201809,충남,3649,373,151,17
2018,9,201809,전북,2898,336,101,7
2018,9,201809,전남,4648,382,319,10
