year,month,yyyymm,sido,sigungu,passenger_private,passenger_total,van_private,van_total
2018,1,201801,강원,강릉시,79406,81585,3341,4128
2018,1,201801,강원,고성군,9460,9611,531,611
2018,1,201801,강원,동해시,33874,34669,1561,1746
2018,1,201801,강원,삼척시,22873,23386,1072,1272
2018,1,201801,강원,속초시,27904,28882,1443,1673
2018,1,201801,강원,양구군,7913,8001,381,446
2018,1,201801,강원,양양군,9829,9979,534,578
2018,1,201801,강원,영월군,13244,13518,849,995
2018,1,201801,강원,원주시,125191,128495,5283,6060
2018,1,201801,강원,인제군,11709,11853,625,719
2018,1,201801,강원,정선군,12934,13241,794,927
2018,1,201801,강원,철원군,15284,15468,971,1053
2018,1,201801,강원,춘천시,100305,102857,4123,5004
2018,1,201801,강원,태백시,15628,16161,878,1093
2018,1,201801,강원,평창군,15526,15817,856,985
2018,1,201801,강원,홍천군,23902,24242,1475,1887
2018,1,201801,강원,화천군,8559,8666,407,509
2018,1,201801,강원,횡성군,15465,16064,937,1088
2018,1,201801,경기,가평군,20834,21158,1465,1843
2018,1,201801,경기,고양시,328533,336443,12190,14399
2018,1,201801,경기,과천시,17320,18118,682,802
2018,1,201801,경기,광명시,87281,89112,3941,4495
2018,1,201801,경기,광주시,132207,133043,6178,9238
2018,1,201801,경기,구리시,55939,57062,2448,2782
2018,1,201801,경기,군포시,82124,83020,3159,3405
2018,1,201801,경기,김포시,143986,146033,6271,7752
2018,1,201801,경기,남양주시,209586,211497,10090,11085
2018,1,201801,경기,동두천시,28970,29771,1755,1871
2018,1,201801,경기,부천시,241424,247609,11832,13402
2018,1,201801,경기,성남시,287386,294587,10095,12086
2018,1,201801,경기,수원시,414477,423065,16270,19278
2018,1,201801,경기,시흥시,155995,158205,7604,8062
2018,1,201801,경기,안산시,230240,235166,12328,14602
2018,1,201801,경기,안성시,71720,72746,3745,4277
2018,1,201801,경기,안양시,173233,177290,6884,8730
2018,1,201801,경기,양주시,71496,72409,4320,5020
2018,1,201801,경기,양평군,41741,42205,2054,2852
2018,1,201801,경기,여주시,43108,43776,2333,3168
2018,1,201801,경기,연천군,15382,15632,989,1161
2018,1,201801,경기,오산시,77616,78851,3478,4028
2018,1,201801,경기,용인시,364272,371386,12431,14879
2018,1,201801,경기,의왕시,49124,49665,1804,1983
2018,1,201801,경기,의정부시,120766,122958,6153,6816
2018,1,201801,경기,이천시,80659,81797,4023,4598
2018,1,201801,경기,파주시,155083,157576,6698,9562
2018,1,201801,경기,평택시,192423,196005,8912,10612
2018,1,201801,경기,포천시,57384,63192,3680,4584
2018,1,201801,경기,하남시,75845,76442,2870,3268
2018,1,201801,경기,화성시,282248,286107,11493,14007
2018,1,201801,경남,거제시,87226,88639,3540,4231
2018,1,201801,경남,거창군,20198,20493,976,1200
2018,1,201801,경남,고성군,17575,17946,921,1080
2018,1,201801,경남,김해시,202983,205487,7988,8706
2018,1,201801,경남,남해군,11953,12216,655,847
2018,1,201801,경남,밀양시,37517,38108,1670,1994
2018,1,201801,경남,사천시,40794,41601,1710,2027
2018,1,201801,경남,산청군,11485,11686,594,698
2018,1,201801,경남,양산시,122673,123821,5122,6148
2018,1,201801,경남,의령군,8723,8848,448,555
2018,1,201801,경남,진주시,121397,124486,4408,5723
2018,1,201801,경남,창녕군,22729,23340,1205,1417
2018,1,201801,경남,창원시,452247,478608,13516,16581
2018,1,201801,경남,통영시,40486,41402,2210,2549
2018,1,201801,경남,하동군,15205,15381,723,820
2018,1,201801,경남,함안군,29092,38750,1358,1891
2018,1,201801,경남,함양군,11736,11949,575,705
2018,1,201801,경남,합천군,13855,14040,712,840
2018,1,201801,경북,경산시,101224,102567,3720,4242
2018,1,201801,경북,경주시,102742,105026,4665,5401
2018,1,201801,경북,고령군,13225,13318,745,818
2018,1,201801,경북,구미시,167229,170263,6841,7756
2018,1,201801,경북,군위군,8598,8677,438,496
