year,month,yyyymm,sido,fuel,type,count
2018,01,201801,서울,휘발유,승용,1579106
2018,01,201801,서울,휘발유,승합,1055
2018,01,201801,서울,경유,승용,719078
2018,01,201801,서울,경유,승합,89433
2018,01,201801,서울,엘피지,승용,162996
2018,01,201801,서울,엘피지,승합,19402
2018,01,201801,서울,등유,승용,0
2018,01,201801,서울,등유,승합,0
2018,01,201801,서울,전기,승용,2166
2018,01,201801,서울,전기,승합,2
2018,01,201801,서울,알코올,승용,0
2018,01,201801,서울,알코올,승합,0
2018,01,201801,서울,태양열,승용,1
2018,01,201801,서울,태양열,승합,0
2018,01,201801,서울,CNG,승용,556
2018,01,201801,서울,CNG,승합,68
2018,01,201801,서울,LNG,승용,0
2018,01,201801,서울,LNG,승합,0
2018,01,201801,서울,하이브리드(휘발유+전기),승용,54699
2018,01,201801,서울,하이브리드(휘발유+전기),승합,0
2018,01,201801,서울,하이브리드(경유+전기),승용,24
2018,01,201801,서울,하이브리드(경유+전기),승합,1
2018,01,201801,서울,하이브리드(LPG+전기),승용,2087
2018,01,201801,서울,하이브리드(LPG+전기),승합,0
2018,01,201801,서울,하이브리드(CNG+전기),승용,0
2018,01,201801,서울,하이브리드(CNG+전기),승합,0
2018,01,201801,서울,하이브리드(LNG+전기),승용,0
2018,01,201801,서울,하이브리드(LNG+전기),승합,0
2018,01,201801,서울,수소,승용,13
2018,01,201801,서울,수소,승합,0
2018,01,201801,서울,기타연료,승용,383
2018,01,201801,서울,기타연료,승합,946
2018,01,201801,부산,휘발유,승용,627911
2018,01,201801,부산,휘발유,승합,257
2018,01,201801,부산,경유,승용,312577
2018,01,201801,부산,경유,승합,34425
2018,01,201801,부산,엘피지,승용,84204
2018,01,201801,부산,엘피지,승합,5762
2018,01,201801,부산,등유,승용,0
2018,01,201801,부산,등유,승합,0
2018,01,201801,부산,전기,승용,792
2018,01,201801,부산,전기,승합,0
2018,01,201801,부산,알코올,승용,0
2018,01,201801,부산,알코올,승합,0
2018,01,201801,부산,태양열,승용,0
2018,01,201801,부산,태양열,승합,0
2018,01,201801,부산,CNG,승용,409
2018,01,201801,부산,CNG,승합,13
2018,01,201801,부산,LNG,승용,0
2018,01,201801,부산,LNG,승합,0
2018,01,201801,부산,하이브리드(휘발유+전기),승용,17243
2018,01,201801,부산,하이브리드(휘발유+전기),승합,0
2018,01,201801,부산,하이브리드(경유+전기),승용,15
2018,01,201801,부산,하이브리드(경유+전기),승합,1
2018,01,201801,부산,하이브리드(LPG+전기),승용,925
2018,01,201801,부산,하이브리드(LPG+전기),승합,0
2018,01,201801,부산,하이브리드(CNG+전기),승용,0
2018,01,201801,부산,하이브리드(CNG+전기),승합,0
2018,01,201801,부산,하이브리드(LNG+전기),승용,0
2018,01,201801,부산,하이브리드(LNG+전기),승합,0
2018,01,201801,부산,수소,승용,0
2018,01,201801,부산,수소,승합,0
2018,01,201801,부산,기타연료,승용,40
2018,01,201801,부산,기타연료,승합,322
2018,01,201801,대구,휘발유,승용,550190
2018,01,201801,대구,휘발유,승합,251
2018,01,201801,대구,경유,승용,273952
2018,01,201801,대구,경유,승합,25046
2018,01,201801,대구,엘피지,승용,92106
2018,01,201801,대구,엘피지,승합,4206
2018,01,201801,대구,등유,승용,0
2018,01,201801,대구,등유,승합,0
2018,01,201801,대구,전기,승용,2243
2018,01,201801,대구,전기,승합,0
2018,01,201801,대구,알코올,승용,0
2018,01,201801,대구,알코올,승합,0
2018,01,201801,대구,태양열,승용,0
2018,01,201801,대구,태양열,승합,0
2018,01,201801,대구,CNG,승용,841
2018,01,201801,대구,CNG,승합,14
2018,01,201801,대구,LNG,승용,0
2018,01,201801,대구,LNG,승합,0
2018,01,201801,대구,하이브리드(휘발유+전기),승용,16067
2018,01,201801,대구,하이브리드(휘발유+전기),승합,0
2018,01,201801,대구,하이브리드(경유+전기),승용,21
2018,01,201801,대구,하이브리드(경유+전기),승합,1
2018,01,201801,대구,하이브리드(LPG+전기),승용,1034
2018,01,201801,대구,하이브리드(LPG+전기),승합,0
2018,01,201801,대구,하이브리드(CNG+전기),승용,0
2018,01,201801,대구,하이브리드(CNG+전기),승합,0
2018,01,201801,대구,하이브리드(LNG+전기),승용,0
2018,01,201801,대구,하이브리드(LNG+전기),승합,0
2018,01,201801,대구,수소,승용,1
2018,01,201801,대구,수소,승합,0
2018,01,201801,대구,기타연료,승용,55
2018,01,201801,대구,기타연료,승합,481
2018,01,201801,인천,휘발유,승용,577968
2018,01,201801,인천,휘발유,승합,225
2018,01,201801,인천,경유,승용,354231
2018,01,201801,인천,경유,승합,37503
2018,01,201801,인천,엘피지,승용,67961
2018,01,201801,인천,엘피지,승합,5457
2018,01,201801,인천,등유,승용,0
2018,01,201801,인천,등유,승합,0
2018,01,201801,인천,전기,승용,562
2018,01,201801,인천,전기,승합,0
2018,01,201801,인천,알코올,승용,0
2018,01,201801,인천,알코올,승합,0
2018,01,201801,인천,태양열,승용,0
