year,month,yyyymm,sido,gender,age,count
2018,01,201801,서울,남성,10,1234
2018,01,201801,서울,남성,20,32753
2018,01,201801,서울,남성,30,337862
2018,01,201801,서울,남성,40,529003
2018,01,201801,서울,남성,50,534347
2018,01,201801,서울,남성,60,391334
2018,01,201801,서울,남성,70,143868
2018,01,201801,서울,남성,80,23411
2018,01,201801,서울,남성,90,2897
2018,01,201801,서울,여성,10,649
2018,01,201801,서울,여성,20,15532
2018,01,201801,서울,여성,30,119009
2018,01,201801,서울,여성,40,186195
2018,01,201801,서울,여성,50,187226
2018,01,201801,서울,여성,60,114409
2018,01,201801,서울,여성,70,32323
2018,01,201801,서울,여성,80,7113
2018,01,201801,서울,여성,90,1686
2018,01,201801,부산,남성,10,490
2018,01,201801,부산,남성,20,17225
2018,01,201801,부산,남성,30,132112
2018,01,201801,부산,남성,40,207564
2018,01,201801,부산,남성,50,233057
2018,01,201801,부산,남성,60,178134
2018,01,201801,부산,남성,70,57437
2018,01,201801,부산,남성,80,8097
2018,01,201801,부산,남성,90,778
2018,01,201801,부산,여성,10,277
2018,01,201801,부산,여성,20,7616
2018,01,201801,부산,여성,30,46875
2018,01,201801,부산,여성,40,74172
2018,01,201801,부산,여성,50,83589
2018,01,201801,부산,여성,60,48393
2018,01,201801,부산,여성,70,11123
2018,01,201801,부산,여성,80,2696
2018,01,201801,부산,여성,90,560
2018,01,201801,대구,남성,10,391
2018,01,201801,대구,남성,20,15703
2018,01,201801,대구,남성,30,110299
2018,01,201801,대구,남성,40,198654
2018,01,201801,대구,남성,50,229572
2018,01,201801,대구,남성,60,149906
2018,01,201801,대구,남성,70,48699
2018,01,201801,대구,남성,80,7820
2018,01,201801,대구,남성,90,576
2018,01,201801,대구,여성,10,209
2018,01,201801,대구,여성,20,6986
2018,01,201801,대구,여성,30,40693
2018,01,201801,대구,여성,40,70984
2018,01,201801,대구,여성,50,81373
2018,01,201801,대구,여성,60,42327
2018,01,201801,대구,여성,70,9947
2018,01,201801,대구,여성,80,2438
2018,01,201801,대구,여성,90,425
2018,01,201801,인천,남성,10,474
2018,01,201801,인천,남성,20,20383
2018,01,201801,인천,남성,30,136632
2018,01,201801,인천,남성,40,214595
2018,01,201801,인천,남성,50,229167
2018,01,201801,인천,남성,60,135639
2018,01,201801,인천,남성,70,37409
2018,01,201801,인천,남성,80,5143
2018,01,201801,인천,남성,90,490
2018,01,201801,인천,여성,10,267
2018,01,201801,인천,여성,20,9068
2018,01,201801,인천,여성,30,49738
2018,01,201801,인천,여성,40,76453
2018,01,201801,인천,여성,50,82857
2018,01,201801,인천,여성,60,38569
2018,01,201801,인천,여성,70,7856
2018,01,201801,인천,여성,80,1962
2018,01,201801,인천,여성,90,405
2018,01,201801,광주,남성,10,224
2018,01,201801,광주,남성,20,10060
2018,01,201801,광주,남성,30,68590
2018,01,201801,광주,남성,40,118438
2018,01,201801,광주,남성,50,122528
2018,01,201801,광주,남성,60,69169
2018,01,201801,광주,남성,70,23581
2018,01,201801,광주,남성,80,3594
2018,01,201801,광주,남성,90,355
2018,01,201801,광주,여성,10,119
2018,01,201801,광주,여성,20,5547
2018,01,201801,광주,여성,30,30551
2018,01,201801,광주,여성,40,46887
2018,01,201801,광주,여성,50,45767
2018,01,201801,광주,여성,60,21121
2018,01,201801,광주,여성,70,5299
2018,01,201801,광주,여성,80,1547
2018,01,201801,광주,여성,90,402
2018,01,201801,대전,남성,10,490
2018,01,201801,대전,남성,20,10430
2018,01,201801,대전,남성,30,71420
2018,01,201801,대전,남성,40,118796
2018,01,201801,대전,남성,50,129555
2018,01,201801,대전,남성,60,81369
2018,01,201801,대전,남성,70,24185
2018,01,201801,대전,남성,80,3962
2018,01,201801,대전,남성,90,373
2018,01,201801,대전,여성,10,263
2018,01,201801,대전,여성,20,5245
2018,01,201801,대전,여성,30,28942
2018,01,201801,대전,여성,40,45354
2018,01,201801,대전,여성,50,48216
2018,01,201801,대전,여성,60,22805
2018,01,201801,대전,여성,70,5276
2018,01,201801,대전,여성,80,1742
2018,01,201801,대전,여성,90,380
2018,01,201801,울산,남성,10,273
2018,01,201801,울산,남성,20,8123
2018,01,201801,울산,남성,30,60672
2018,01,201801,울산,남성,40,100224
2018,01,201801,울산,남성,50,130945
2018,01,201801,울산,남성,60,75746
2018,01,201801,울산,남성,70,18269
2018,01,201801,울산,남성,80,1997
2018,01,201801,울산,남성,90,162
2018,01,201801,울산,여성,10,134
2018,01,201801,울산,여성,20,3416
2018,01,201801,울산,여성,30,19592
2018,01,201801,울산,여성,40,31627
2018,01,201801,울산,여성,50,33794
2018,01,201801,울산,여성,60,16253
2018,01,201801,울산,여성,70,3109
2018,01,201801,울산,여성,80,801
2018,01,201801,울산,여성,90,183
2018,01,201801,세종,남성,10,67
2018,01,201801,세종,남성,20,1499
2018,01,201801,세종,남성,30,18826
2018,01,201801,세종,남성,40,31817
2018,01,201801,세종,남성,50,22139
2018,01,201801,세종,남성,60,12994
2018,01,201801,세종,남성,70,3639
2018,01,201801,세종,남성,80,577
2018,01,201801,세종,남성,90,57
2018,01,201801,세종,여성,10,32
2018,01,201801,세종,여성,20,1002
2018,01,201801,세종,여성,30,8272
2018,01,201801,세종,여성,40,10839
2018,01,201801,세종,여성,50,7811
2018,01,201801,세종,여성,60,3773
2018,01,201801,세종,여성,70,743
2018,01,201801,세종,여성,80,258
2018,01,201801,세종,여성,90,48
2018,01,201801,경기,남성,10,2274
2018,01,201801,경기,남성,20,79175
2018,01,201801,경기,남성,30,616204
2018,01,201801,경기,남성,40,1046365
2018,01,201801,경기,남성,50,1055466
2018,01,201801,경기,남성,60,595331
2018,01,201801,경기,남성,70,180681
2018,01,201801,경기,남성,80,31353
2018,01,201801,경기,남성,90,2604
2018,01,201801,경기,여성,10,1218
2018,01,201801,경기,여성,20,36786
2018,01,201801,경기,여성,30,221541
2018,01,201801,경기,여성,40,364722
2018,01,201801,경기,여성,50,378454
2018,01,201801,경기,여성,60,179225
2018,01,201801,경기,여성,70,43722
2018,01,201801,경기,여성,80,10596
2018,01,201801,경기,여성,90,1961
2018,01,201801,강원,남성,10,212
2018,01,201801,강원,남성,20,12111
2018,01,201801,강원,남성,30,65283
2018,01,201801,강원,남성,40,122878
2018,01,201801,강원,남성,50,152935
2018,01,201801,강원,남성,60,113490
2018,01,201801,강원,남성,70,40995
2018,01,201801,강원,남성,80,7527
2018,01,201801,강원,남성,90,542
2018,01,201801,강원,여성,10,116
2018,01,201801,강원,여성,20,5132
2018,01,201801,강원,여성,30,26525
2018,01,201801,강원,여성,40,46147
2018,01,201801,강원,여성,50,55983
2018,01,201801,강원,여성,60,32081
2018,01,201801,강원,여성,70,7513
2018,01,201801,강원,여성,80,1944
2018,01,201801,강원,여성,90,344
2018,01,201801,충북,남성,10,341
2018,01,201801,충북,남성,20,13160
2018,01,201801,충북,남성,30,77941
2018,01,201801,충북,남성,40,133705
2018,01,201801,충북,남성,50,163523
2018,01,201801,충북,남성,60,111135
2018,01,201801,충북,남성,70,35123
2018,01,201801,충북,남성,80,5749
2018,01,201801,충북,남성,90,437
2018,01,201801,충북,여성,10,182
2018,01,201801,충북,여성,20,6137
2018,01,201801,충북,여성,30,30603
2018,01,201801,충북,여성,40,46520
2018,01,201801,충북,여성,50,55735
2018,01,201801,충북,여성,60,28335
2018,01,201801,충북,여성,70,6202
2018,01,201801,충북,여성,80,1884
2018,01,201801,충북,여성,90,344
2018,01,201801,충남,남성,10,272
2018,01,201801,충남,남성,20,17735
2018,01,201801,충남,남성,30,120966
2018,01,201801,충남,남성,40,192350
2018,01,201801,충남,남성,50,211040
2018,01,201801,충남,남성,60,139919
2018,01,201801,충남,남성,70,49439
2018,01,201801,충남,남성,80,8494
2018,01,201801,충남,남성,90,632
2018,01,201801,충남,여성,10,180
2018,01,201801,충남,여성,20,8335
2018,01,201801,충남,여성,30,41167
2018,01,201801,충남,여성,40,60934
2018,01,201801,충남,여성,50,70365
2018,01,201801,충남,여성,60,36098
2018,01,201801,충남,여성,70,8354
2018,01,201801,충남,여성,80,2730
2018,01,201801,충남,여성,90,471
2018,01,201801,전북,남성,10,370
2018,01,201801,전북,남성,20,12318
2018,01,201801,전북,남성,30,76736
2018,01,201801,전북,남성,40,150399
2018,01,201801,전북,남성,50,177615
2018,01,201801,전북,남성,60,125752
2018,01,201801,전북,남성,70,47657
2018,01,201801,전북,남성,80,8232
2018,01,201801,전북,남성,90,830
2018,01,201801,전북,여성,10,207
2018,01,201801,전북,여성,20,6429
2018,01,201801,전북,여성,30,31844
2018,01,201801,전북,여성,40,53519
2018,01,201801,전북,여성,50,62850
2018,01,201801,전북,여성,60,34144
2018,01,201801,전북,여성,70,9303
2018,01,201801,전북,여성,80,3649
2018,01,201801,전북,여성,90,876
2018,01,201801,전남,남성,10,394
2018,01,201801,전남,남성,20,12360
2018,01,201801,전남,남성,30,78873
2018,01,201801,전남,남성,40,151176
2018,01,201801,전남,남성,50,193163
2018,01,201801,전남,남성,60,134464
2018,01,201801,전남,남성,70,50868
2018,01,201801,전남,남성,80,7664
2018,01,201801,전남,남성,90,821
2018,01,201801,전남,여성,10,215
2018,01,201801,전남,여성,20,6130
2018,01,201801,전남,여성,30,30562
2018,01,201801,전남,여성,40,49468
2018,01,201801,전남,여성,50,60668
2018,01,201801,전남,여성,60,32380
2018,01,201801,전남,여성,70,9046
2018,01,201801,전남,여성,80,3640
2018,01,201801,전남,여성,90,778
2018,01,201801,경북,남성,10,279
2018,01,201801,경북,남성,20,18320
2018,01,201801,경북,남성,30,127338
2018,01,201801,경북,남성,40,230172
2018,01,201801,경북,남성,50,299388
2018,01,201801,경북,남성,60,223425
2018,01,201801,경북,남성,70,77803
2018,01,201801,경북,남성,80,11964
2018,01,201801,경북,남성,90,959
2018,01,201801,경북,여성,10,165
2018,01,201801,경북,여성,20,8537
2018,01,201801,경북,여성,30,46443
2018,01,201801,경북,여성,40,73968
2018,01,201801,경북,여성,50,93215
2018,01,201801,경북,여성,60,52893
2018,01,201801,경북,여성,70,11673
2018,01,201801,경북,여성,80,3504
2018,01,201801,경북,여성,90,632
2018,01,201801,경남,남성,10,696
2018,01,201801,경남,남성,20,21685
2018,01,201801,경남,남성,30,163998
2018,01,201801,경남,남성,40,289686
2018,01,201801,경남,남성,50,334904
2018,01,201801,경남,남성,60,222004
2018,01,201801,경남,남성,70,66505
2018,01,201801,경남,남성,80,9403
2018,01,201801,경남,남성,90,816
2018,01,201801,경남,여성,10,380
2018,01,201801,경남,여성,20,9971
2018,01,201801,경남,여성,30,59886
2018,01,201801,경남,여성,40,97951
2018,01,201801,경남,여성,50,110925
2018,01,201801,경남,여성,60,54691
2018,01,201801,경남,여성,70,11438
2018,01,201801,경남,여성,80,3624
2018,01,201801,경남,여성,90,703
2018,01,201801,제주,남성,10,166
2018,01,201801,제주,남성,20,4728
2018,01,201801,제주,남성,30,30893
2018,01,201801,제주,남성,40,61457
2018,01,201801,제주,남성,50,65272
2018,01,201801,제주,남성,60,40335
2018,01,201801,제주,남성,70,16175
2018,01,201801,제주,남성,80,3075
2018,01,201801,제주,남성,90,173
2018,01,201801,제주,여성,10,88
2018,01,201801,제주,여성,20,2907
2018,01,201801,제주,여성,30,15308
2018,01,201801,제주,여성,40,26595
2018,01,201801,제주,여성,50,28118
2018,01,201801,제주,여성,60,14463
2018,01,201801,제주,여성,70,3500
2018,01,201801,제주,여성,80,835
2018,01,201801,제주,여성,90,204
2018,02,201802,서울,남성,10,1243
2018,02,201802,서울,남성,20,33694
2018,02,201802,서울,남성,30,339217
2018,02,201802,서울,남성,40,528355
2018,02,201802,서울,남성,50,533915
2018,02,201802,서울,남성,60,390238
2018,02,201802,서울,남성,70,143077
2018,02,201802,서울,남성,80,23215
2018,02,201802,서울,남성,90,2848
2018,02,201802,서울,여성,10,647
2018,02,201802,서울,여성,20,15988
2018,02,201802,서울,여성,30,119526
2018,02,201802,서울,여성,40,186368
2018,02,201802,서울,여성,50,187193
2018,02,201802,서울,여성,60,114082
2018,02,201802,서울,여성,70,32158
2018,02,201802,서울,여성,80,7044
2018,02,201802,서울,여성,90,1690
2018,02,201802,부산,남성,10,494
2018,02,201802,부산,남성,20,17692
2018,02,201802,부산,남성,30,132716
2018,02,201802,부산,남성,40,207746
2018,02,201802,부산,남성,50,232952
2018,02,201802,부산,남성,60,177730
2018,02,201802,부산,남성,70,57113
2018,02,201802,부산,남성,80,8015
2018,02,201802,부산,남성,90,766
2018,02,201802,부산,여성,10,276
2018,02,201802,부산,여성,20,7799
2018,02,201802,부산,여성,30,47119
2018,02,201802,부산,여성,40,74259
2018,02,201802,부산,여성,50,83647
2018,02,201802,부산,여성,60,48275
2018,02,201802,부산,여성,70,11111
2018,02,201802,부산,여성,80,2664
2018,02,201802,부산,여성,90,550
2018,02,201802,대구,남성,10,391
2018,02,201802,대구,남성,20,16185
2018,02,201802,대구,남성,30,110848
2018,02,201802,대구,남성,40,198619
2018,02,201802,대구,남성,50,229790
2018,02,201802,대구,남성,60,149645
2018,02,201802,대구,남성,70,48437
2018,02,201802,대구,남성,80,7736
2018,02,201802,대구,남성,90,569
2018,02,201802,대구,여성,10,208
2018,02,201802,대구,여성,20,7167
2018,02,201802,대구,여성,30,41066
2018,02,201802,대구,여성,40,71163
2018,02,201802,대구,여성,50,81443
2018,02,201802,대구,여성,60,42234
2018,02,201802,대구,여성,70,9899
2018,02,201802,대구,여성,80,2405
2018,02,201802,대구,여성,90,419
2018,02,201802,인천,남성,10,477
2018,02,201802,인천,남성,20,20921
2018,02,201802,인천,남성,30,137453
2018,02,201802,인천,남성,40,214521
2018,02,201802,인천,남성,50,229159
2018,02,201802,인천,남성,60,135453
2018,02,201802,인천,남성,70,37198
2018,02,201802,인천,남성,80,5084
2018,02,201802,인천,남성,90,483
2018,02,201802,인천,여성,10,268
2018,02,201802,인천,여성,20,9301
2018,02,201802,인천,여성,30,50014
2018,02,201802,인천,여성,40,76686
2018,02,201802,인천,여성,50,82977
2018,02,201802,인천,여성,60,38527
2018,02,201802,인천,여성,70,7825
2018,02,201802,인천,여성,80,1951
2018,02,201802,인천,여성,90,398
2018,02,201802,광주,남성,10,224
2018,02,201802,광주,남성,20,10329
2018,02,201802,광주,남성,30,68889
2018,02,201802,광주,남성,40,118649
2018,02,201802,광주,남성,50,122564
2018,02,201802,광주,남성,60,69078
2018,02,201802,광주,남성,70,23450
2018,02,201802,광주,남성,80,3561
2018,02,201802,광주,남성,90,348
2018,02,201802,광주,여성,10,117
2018,02,201802,광주,여성,20,5720
2018,02,201802,광주,여성,30,30752
2018,02,201802,광주,여성,40,47026
2018,02,201802,광주,여성,50,45832
2018,02,201802,광주,여성,60,21081
2018,02,201802,광주,여성,70,5253
2018,02,201802,광주,여성,80,1532
2018,02,201802,광주,여성,90,396
2018,02,201802,대전,남성,10,491
2018,02,201802,대전,남성,20,10728
2018,02,201802,대전,남성,30,71552
2018,02,201802,대전,남성,40,118706
2018,02,201802,대전,남성,50,129479
2018,02,201802,대전,남성,60,81175
2018,02,201802,대전,남성,70,24036
2018,02,201802,대전,남성,80,3919
2018,02,201802,대전,남성,90,368
2018,02,201802,대전,여성,10,265
2018,02,201802,대전,여성,20,5381
2018,02,201802,대전,여성,30,29055
2018,02,201802,대전,여성,40,45347
2018,02,201802,대전,여성,50,48298
2018,02,201802,대전,여성,60,22778
2018,02,201802,대전,여성,70,5235
2018,02,201802,대전,여성,80,1726
2018,02,201802,대전,여성,90,369
2018,02,201802,울산,남성,10,276
2018,02,201802,울산,남성,20,8332
2018,02,201802,울산,남성,30,60952
2018,02,201802,울산,남성,40,100295
2018,02,201802,울산,남성,50,130997
2018,02,201802,울산,남성,60,75608
2018,02,201802,울산,남성,70,18189
2018,02,201802,울산,남성,80,1979
2018,02,201802,울산,남성,90,161
2018,02,201802,울산,여성,10,134
2018,02,201802,울산,여성,20,3544
2018,02,201802,울산,여성,30,19710
2018,02,201802,울산,여성,40,31643
2018,02,201802,울산,여성,50,33814
2018,02,201802,울산,여성,60,16240
2018,02,201802,울산,여성,70,3094
2018,02,201802,울산,여성,80,789
2018,02,201802,울산,여성,90,183
2018,02,201802,세종,남성,10,72
2018,02,201802,세종,남성,20,1558
2018,02,201802,세종,남성,30,19260
2018,02,201802,세종,남성,40,32385
2018,02,201802,세종,남성,50,22386
2018,02,201802,세종,남성,60,13053
2018,02,201802,세종,남성,70,3652
2018,02,201802,세종,남성,80,570
2018,02,201802,세종,남성,90,57
2018,02,201802,세종,여성,10,33
2018,02,201802,세종,여성,20,1066
2018,02,201802,세종,여성,30,8526
2018,02,201802,세종,여성,40,11056
2018,02,201802,세종,여성,50,7878
2018,02,201802,세종,여성,60,3778
2018,02,201802,세종,여성,70,745
2018,02,201802,세종,여성,80,260
2018,02,201802,세종,여성,90,49
2018,02,201802,경기,남성,10,2293
2018,02,201802,경기,남성,20,81632
2018,02,201802,경기,남성,30,620788
2018,02,201802,경기,남성,40,1047375
2018,02,201802,경기,남성,50,1054500
2018,02,201802,경기,남성,60,594148
2018,02,201802,경기,남성,70,179730
2018,02,201802,경기,남성,80,31020
2018,02,201802,경기,남성,90,2571
2018,02,201802,경기,여성,10,1221
2018,02,201802,경기,여성,20,37835
2018,02,201802,경기,여성,30,223580
2018,02,201802,경기,여성,40,365550
2018,02,201802,경기,여성,50,379061
2018,02,201802,경기,여성,60,179083
2018,02,201802,경기,여성,70,43471
2018,02,201802,경기,여성,80,10510
2018,02,201802,경기,여성,90,1932
2018,02,201802,강원,남성,10,211
2018,02,201802,강원,남성,20,12370
2018,02,201802,강원,남성,30,65571
2018,02,201802,강원,남성,40,122909
2018,02,201802,강원,남성,50,153032
2018,02,201802,강원,남성,60,113422
2018,02,201802,강원,남성,70,40893
2018,02,201802,강원,남성,80,7460
2018,02,201802,강원,남성,90,540
2018,02,201802,강원,여성,10,116
2018,02,201802,강원,여성,20,5260
2018,02,201802,강원,여성,30,26640
2018,02,201802,강원,여성,40,46289
2018,02,201802,강원,여성,50,56104
2018,02,201802,강원,여성,60,32035
2018,02,201802,강원,여성,70,7479
2018,02,201802,강원,여성,80,1924
2018,02,201802,강원,여성,90,339
2018,02,201802,충북,남성,10,345
2018,02,201802,충북,남성,20,13571
2018,02,201802,충북,남성,30,78480
2018,02,201802,충북,남성,40,133874
2018,02,201802,충북,남성,50,163562
2018,02,201802,충북,남성,60,111003
2018,02,201802,충북,남성,70,35007
2018,02,201802,충북,남성,80,5681
2018,02,201802,충북,남성,90,431
2018,02,201802,충북,여성,10,182
2018,02,201802,충북,여성,20,6316
2018,02,201802,충북,여성,30,30773
2018,02,201802,충북,여성,40,46651
2018,02,201802,충북,여성,50,55761
2018,02,201802,충북,여성,60,28367
2018,02,201802,충북,여성,70,6165
2018,02,201802,충북,여성,80,1860
2018,02,201802,충북,여성,90,338
2018,02,201802,충남,남성,10,272
2018,02,201802,충남,남성,20,18242
2018,02,201802,충남,남성,30,121676
2018,02,201802,충남,남성,40,192844
2018,02,201802,충남,남성,50,211467
2018,02,201802,충남,남성,60,140001
2018,02,201802,충남,남성,70,49345
2018,02,201802,충남,남성,80,8424
2018,02,201802,충남,남성,90,623
2018,02,201802,충남,여성,10,182
2018,02,201802,충남,여성,20,8602
2018,02,201802,충남,여성,30,41487
2018,02,201802,충남,여성,40,61283
2018,02,201802,충남,여성,50,70533
2018,02,201802,충남,여성,60,36116
2018,02,201802,충남,여성,70,8296
2018,02,201802,충남,여성,80,2710
2018,02,201802,충남,여성,90,461
2018,02,201802,전북,남성,10,368
2018,02,201802,전북,남성,20,12644
2018,02,201802,전북,남성,30,76960
2018,02,201802,전북,남성,40,150672
2018,02,201802,전북,남성,50,177959
2018,02,201802,전북,남성,60,125749
2018,02,201802,전북,남성,70,47493
2018,02,201802,전북,남성,80,8140
2018,02,201802,전북,남성,90,817
2018,02,201802,전북,여성,10,208
2018,02,201802,전북,여성,20,6590
2018,02,201802,전북,여성,30,31962
2018,02,201802,전북,여성,40,53653
2018,02,201802,전북,여성,50,62930
2018,02,201802,전북,여성,60,34093
2018,02,201802,전북,여성,70,9266
2018,02,201802,전북,여성,80,3601
2018,02,201802,전북,여성,90,864
2018,02,201802,전남,남성,10,392
2018,02,201802,전남,남성,20,12647
2018,02,201802,전남,남성,30,79336
2018,02,201802,전남,남성,40,151099
2018,02,201802,전남,남성,50,193451
2018,02,201802,전남,남성,60,134360
2018,02,201802,전남,남성,70,50643
2018,02,201802,전남,남성,80,7592
2018,02,201802,전남,남성,90,800
2018,02,201802,전남,여성,10,215
2018,02,201802,전남,여성,20,6285
2018,02,201802,전남,여성,30,30778
2018,02,201802,전남,여성,40,49560
2018,02,201802,전남,여성,50,60771
2018,02,201802,전남,여성,60,32390
2018,02,201802,전남,여성,70,8983
2018,02,201802,전남,여성,80,3607
2018,02,201802,전남,여성,90,818
2018,02,201802,경북,남성,10,278
2018,02,201802,경북,남성,20,18747
2018,02,201802,경북,남성,30,127918
2018,02,201802,경북,남성,40,230334
2018,02,201802,경북,남성,50,299597
2018,02,201802,경북,남성,60,223228
2018,02,201802,경북,남성,70,77506
2018,02,201802,경북,남성,80,11831
2018,02,201802,경북,남성,90,944
2018,02,201802,경북,여성,10,165
2018,02,201802,경북,여성,20,8745
2018,02,201802,경북,여성,30,46593
2018,02,201802,경북,여성,40,74164
2018,02,201802,경북,여성,50,93415
2018,02,201802,경북,여성,60,52878
2018,02,201802,경북,여성,70,11605
2018,02,201802,경북,여성,80,3472
2018,02,201802,경북,여성,90,626
2018,02,201802,경남,남성,10,703
2018,02,201802,경남,남성,20,22232
2018,02,201802,경남,남성,30,164928
2018,02,201802,경남,남성,40,289977
2018,02,201802,경남,남성,50,335300
2018,02,201802,경남,남성,60,221781
2018,02,201802,경남,남성,70,66263
2018,02,201802,경남,남성,80,9332
2018,02,201802,경남,남성,90,801
2018,02,201802,경남,여성,10,379
2018,02,201802,경남,여성,20,10243
